sal_avg_lc1vs0_iate,empl_x0
-4794.233587543226,79.0
-2693.174591155995,91.0
-5392.059907346633,49.0
-986.6002414598258,88.0
-281.54675123060633,60.0
-9157.941354466155,93.0
-13578.04074563397,51.0
-7487.506792336428,86.0
-3109.370698012696,76.0
-3913.2121345586183,97.0
-14162.201534433103,74.0
-12089.657537156761,83.0
-4952.782302663369,58.0
-21019.058765765585,94.0
-14377.80278587337,54.0
-1768.7706594950723,91.0
-13032.786842559997,88.0
-1578.4339274905042,92.0
-2951.3700701380494,99.0
-15797.855253188935,94.0
-4429.474466530128,44.0
-4838.923590867564,76.0
-4005.9592596586826,97.0
-2919.7176323197973,60.0
-4806.106171835136,90.0
-3854.880291943179,56.0
-5716.18291391208,68.0
-1170.2571990466831,50.0
436.6982479815158,40.0
-3219.776626640809,39.0
-1996.0484140403523,41.0
-18129.880000110792,104.0
-18359.97289274449,107.0
-8083.324319560274,83.0
-1210.0758095611673,31.0
-8592.231622147412,70.0
-5871.968701092864,52.0
-11569.190347748565,56.0
-6968.749078568313,89.0
-3664.6796309003876,48.0
-5548.876307371849,55.0
-5627.451770555056,86.0
-8283.52835393668,118.0
-7160.9910878070605,103.0
-310.37168021049644,45.0
-1435.81757479522,30.0
-7042.406618480247,68.0
-4984.466581442169,53.0
-56.33232408046345,94.0
-890.7201069562046,55.0
-5623.532942652186,56.0
-5396.959513890426,67.0
-6354.2047238725245,57.0
-13081.173822566274,85.0
-3516.0683503919918,54.0
-13179.946094300194,100.0
-1402.111887458308,73.0
-5064.680268330811,54.0
-15142.03915054749,70.0
-12184.736648898739,46.0
-11721.25805756469,53.0
-3554.0336516271745,68.0
-2336.861100870028,76.0
-3087.421922571015,54.0
-8116.2432350993,58.0
-4256.0200047777635,46.0
-3166.2687227382407,42.0
-5083.098479900222,93.0
-7249.239492437258,87.0
-7654.06532204916,80.0
-5036.03412197274,89.0
-2927.630551073811,97.0
-1845.1371319304158,42.0
157.73924563196465,74.0
-1310.7774424573422,54.0
-3778.114919996483,59.0
-2314.6919275686764,72.0
-12962.884879629297,90.0
-3063.3670505006544,90.0
-20362.931802059928,88.0
-15476.810906670038,71.0
-7412.540871392797,98.0
-11445.4817573018,69.0
-2723.537583021282,60.0
-2675.1133827060294,43.0
-4006.180352637505,65.0
-3638.1642275587865,44.0
-1908.294428524015,70.0
-9689.44098313031,53.0
-2557.6141537202516,40.0
-16016.323432450354,81.0
-9480.106396580893,54.0
-6308.700603407122,69.0
-979.3349252982796,42.0
-3821.86625847277,82.0
-10013.19827576287,73.0
-6690.749180257396,53.0
-13466.165737206347,69.0
-4166.463158603381,80.0
-6964.490701030812,66.0
-5169.819878103175,24.0
-2257.6984564895297,52.0
-13247.345947612273,68.0
-1294.5215235593964,66.0
-4270.438668968396,76.0
-5388.595103984488,62.0
-17338.561453190447,53.0
-8050.913766130763,55.0
-3428.049271649319,41.0
-5141.046663683175,62.0
-9916.177181186193,50.0
-4320.656988476179,78.0
-4407.522207813248,53.0
-2230.1933231354724,51.0
-2217.3322666341087,84.0
-2434.1966156409608,72.0
-1330.1147751756966,74.0
-5202.01330874447,67.0
-5142.564051904001,82.0
-51.97855476979453,89.0
-16293.842130432646,94.0
-6083.449440380387,42.0
-1697.25343347294,89.0
-5329.038740216332,107.0
-10995.475890302167,62.0
-1936.9311912179614,41.0
-7147.902861578556,57.0
-5789.560563698852,79.0
-3384.6712028387556,95.0
-4309.1454297339005,44.0
-18055.148318792264,40.0
-12295.465366261202,67.0
-3357.19115057234,52.0
-96.74307384329427,50.0
-55.19507577970222,83.0
-3596.1298118226423,48.0
-4652.364577773316,53.0
-11656.60853093363,108.0
-6822.059793696728,76.0
-3062.0748199785485,66.0
-14704.13996861499,55.0
-22613.33495117436,68.0
-11681.714306483213,72.0
-2690.328832907178,82.0
-145.76452319616465,49.0
-9534.153239810177,101.0
-8783.251104575225,86.0
-11848.243754399995,104.0
-6825.626377529973,63.0
-5914.429739644209,57.0
-18599.305977015687,59.0
-11797.697044277511,80.0
-11779.350052012396,100.0
-1228.144689300819,36.0
-5070.627808423444,81.0
-2013.7771281006735,65.0
-4184.450382434787,81.0
-4429.686481721787,99.0
-15704.460182145112,101.0
-17538.792802188327,96.0
-15469.449232276142,88.0
-6605.8529427610465,47.0
-6822.9162540114085,52.0
-2804.1733946980526,33.0
-14581.692431403177,85.0
-2898.821256782981,54.0
-12532.896318914685,82.0
-9409.879074009157,91.0
-811.951978044432,91.0
-6835.83232084338,71.0
-7881.885374983099,45.0
-4014.51886706782,90.0
-8848.296479403356,81.0
-4922.656449051392,56.0
-7944.97828854921,87.0
-3316.8892568799674,60.0
-15515.62960784151,82.0
-20928.293569871956,92.0
-10876.75302727928,84.0
-15384.926845707749,86.0
-2208.539319741446,64.0
-4678.384697793139,89.0
-5325.26382253275,36.0
-20550.250884253855,66.0
-13565.752192353077,97.0
-13920.475668151386,78.0
-3002.2481816884783,101.0
-4031.360242911709,52.0
-8808.473852875817,57.0
-10102.307806520617,80.0
-5954.354116014112,101.0
-834.0120585124301,48.0
-8727.131418268327,56.0
-6971.425860202112,115.0
-18402.801206939464,62.0
-17242.613398071877,58.0
-14923.882998099945,69.0
-5249.849177096246,95.0
-6792.929377688577,53.0
-6525.790521230949,68.0
-15448.370582953497,77.0
-8992.764398352394,61.0
-7627.7835946544765,80.0
-8520.930671184014,68.0
-563.6565441697796,47.0
-11149.090747767623,75.0
-17383.33206356701,74.0
-7822.022903112245,53.0
-2240.4664548704013,51.0
-6999.3454986042525,75.0
854.0491751777736,46.0
-4172.757175669629,83.0
-4827.962497706103,63.0
-20328.30628333887,63.0
179.93305316258136,88.0
-7097.035159534632,43.0
-5106.777566478966,69.0
-4588.038865725401,61.0
-11884.86326199716,114.0
-6265.209999379702,66.0
-6140.083691610969,51.0
-9357.132773341014,76.0
-1077.826536331635,48.0
-10621.559893547777,74.0
-5028.92848210696,62.0
