sal_5_lc2vs0_iate,nation
-61695.849133878044,1.0
-50953.1331665301,5.0
-42128.9172384798,1.0
-56928.92212958918,1.0
-32104.69309751664,1.0
-37586.596702971416,2.0
-29586.452068087816,1.0
-53789.90213767087,1.0
-57213.47849218123,2.0
-60597.15447946911,4.0
-53010.54438498499,2.0
-43405.737443548394,1.0
-40655.86590436488,1.0
-34790.530833523495,1.0
-37243.27297861661,1.0
-35850.49701573914,1.0
-41389.8575835389,1.0
-30373.147772494667,1.0
-37250.49397954746,1.0
-29000.068278536288,1.0
-41597.22148764268,1.0
-60189.69767609934,2.0
-55489.172935806695,1.0
-52124.606513647486,1.0
-56528.86127177224,1.0
-29087.917159182984,1.0
-28843.05147751742,1.0
-53924.504476558395,2.0
-29849.73331100489,1.0
-50563.38290537672,3.0
-54504.16078027396,1.0
-50600.31834238082,1.0
-36420.64667911112,1.0
-40192.467695807616,1.0
-62633.94716439305,2.0
-41949.03096969674,1.0
-56327.286304475245,1.0
-29222.059340936117,1.0
-41057.525252924686,1.0
-30364.784644981948,2.0
-36793.098364106525,2.0
-47977.75221551909,1.0
-57851.48644218047,1.0
-32186.71411075066,5.0
-38111.937912450514,1.0
-58437.21122217857,1.0
-53095.59691229256,1.0
-52769.648712329494,1.0
-59515.12103572427,2.0
-34696.55781776325,2.0
-43169.098698826434,1.0
-49197.21741432236,1.0
-53016.21038241127,1.0
-50448.978294125096,2.0
-41373.45292150728,2.0
-30116.75172363628,1.0
-43545.49912575201,1.0
-51005.86411111688,1.0
-61182.9443832249,1.0
-45463.6518478011,1.0
-34683.3041338681,1.0
-35865.29092028302,1.0
-40894.848424005744,3.0
-39160.984654124906,1.0
-28666.921177091066,1.0
-52707.953657615304,1.0
-56028.57422641719,1.0
-30649.15190284695,2.0
-37306.65380609137,2.0
-40962.56531427613,1.0
-59297.43225146084,1.0
-30981.202626034163,2.0
-34733.24213834223,1.0
-53355.56396390565,1.0
-40925.071702328736,1.0
-29666.13173000049,1.0
-54144.05789355774,5.0
-34736.071551001085,3.0
-33422.242274194716,2.0
-39632.696065426135,2.0
-58222.24505050633,1.0
-43926.079514576086,2.0
-47955.38733690642,1.0
-31957.436445183164,1.0
-51312.65571756703,1.0
-41967.48114891373,1.0
-56339.75393070998,1.0
-29584.319346140826,1.0
-59704.52708303983,1.0
-53890.674562661006,1.0
-30044.089432774574,1.0
-60998.174999088944,1.0
-32379.304546408843,1.0
-42881.040397029996,5.0
-56801.04251753871,1.0
-39465.41482008598,1.0
-49290.87062931832,1.0
-31261.053190312363,1.0
-60048.60366686444,2.0
-46711.45725184028,1.0
-44330.86231181479,1.0
-35258.10951588306,2.0
-44448.7214880229,5.0
-51194.4850547089,1.0
-53381.31050958007,1.0
-51610.46220065802,2.0
-39566.74162832049,5.0
-52076.43678097206,1.0
-49394.92536013533,1.0
-57475.5622617165,1.0
-34811.152774574046,1.0
-57069.9394562371,1.0
-30556.6127855463,2.0
-46602.9649567614,1.0
-40822.64442115769,1.0
-40302.587742435964,1.0
-55496.392829345845,1.0
-60673.72611993522,4.0
-52368.28312667586,1.0
-36973.696449559095,1.0
-55779.41123524647,1.0
-41361.314962524084,2.0
-57607.95717829147,1.0
-62330.08579784866,1.0
-38999.61262179143,5.0
-44630.997926779644,2.0
-39783.371318995356,1.0
