sal_8_lc2vs0_iate,empl_x0
-8556.776187150233,61.0
-9642.86134411857,63.0
-22487.687341964578,66.0
-28573.236115605425,73.0
-11660.996015405231,80.0
-12145.541565862686,74.0
-13884.70773743318,91.0
-12437.81122027695,69.0
-11305.24462343619,58.0
-13739.371368635359,86.0
-12168.473340302271,50.0
-18305.86780753271,86.0
-10593.779767226264,12.0
-4984.4533799396395,37.0
-12283.937185388724,85.0
-6498.370823426063,61.0
-12548.01225997064,96.0
-14458.021966030832,61.0
-18385.729123202473,72.0
-18850.556712561145,107.0
-17021.686091824035,74.0
-12616.094511257334,74.0
-15924.481621031186,52.0
-16433.288737653118,50.0
-9097.876990337667,75.0
-20795.352066945776,68.0
-12620.29085436253,100.0
-17872.52213363917,83.0
-12154.989865222504,82.0
-13712.255838571356,69.0
-18810.534803153787,55.0
-5272.951619042331,36.0
-9519.637469895091,43.0
-9583.414800101751,111.0
-7717.64720388795,22.0
-22897.31630622967,90.0
-19369.417154695508,66.0
-7349.774392798128,27.0
-13239.190753199604,42.0
-15867.883551343975,64.0
-19083.902216252725,48.0
-10353.148275399417,52.0
-18164.249432603996,70.0
-10635.380482886201,47.0
-6399.682032392457,84.0
-27883.207030571335,69.0
-12507.280434925471,83.0
-13488.913733835367,68.0
-25689.754537490564,73.0
-11869.396120393816,90.0
-10744.439545036937,53.0
-12634.276375277794,97.0
-9702.890797404832,67.0
-13451.204646319966,56.0
-8416.880279964533,61.0
-20398.911668669738,52.0
-8994.587364237319,96.0
-12031.890998611574,63.0
-16808.507633123194,100.0
-13716.854861026095,24.0
-9591.507493978786,47.0
-11801.540846688553,69.0
-13647.229290925457,75.0
-6007.517920702634,59.0
-7751.6843736968685,58.0
-16871.559596432635,109.0
-22162.547037649696,83.0
-13152.311620495793,43.0
-8408.862638611636,74.0
-15524.18048495705,87.0
-8511.104442313479,59.0
-10697.086766692446,77.0
-13466.56344927986,69.0
-18936.485052579348,114.0
-9321.861347273763,87.0
-27365.97255256632,48.0
-17641.43947423995,69.0
-13173.546640483846,95.0
-12984.968204797555,77.0
-14041.26375625298,105.0
-15183.294609146273,43.0
-16984.653303172345,81.0
-9811.930152948273,87.0
-20684.2220716874,41.0
-7652.882477888265,55.0
-8701.232653067818,76.0
-14185.504554727937,71.0
-18083.82530552208,112.0
-12204.86038945357,78.0
-13803.564765748444,71.0
-16402.001458629453,51.0
-11346.91010567399,78.0
-11945.724928544356,72.0
-10540.033448341768,37.0
-25636.652269811282,75.0
-19950.16811280314,70.0
-18811.42715373368,55.0
-11164.544089115665,74.0
-10637.244912902865,69.0
-18342.186512007887,59.0
-16575.276149631216,61.0
-23147.658564461737,61.0
-10156.016268337196,57.0
-13475.404843251617,55.0
-10308.68883531772,50.0
-16725.93041893442,77.0
-23164.046298493202,85.0
-9454.47067257737,62.0
-13562.718468205996,100.0
-20300.79607272757,55.0
-22764.74241142536,79.0
-15910.044534220455,81.0
-9395.86932504989,79.0
-8980.372178766549,91.0
-11136.248118964115,49.0
-13895.528447763714,88.0
-7738.899843455491,60.0
-19279.90296315491,93.0
-22081.677733577213,51.0
-13779.0805374182,86.0
-11452.126497073947,76.0
-18182.125134533853,97.0
-7083.425940641092,74.0
-32072.89655641414,83.0
-20627.96238232441,58.0
-28652.454556280183,94.0
-20669.127626837213,54.0
-15545.924647317785,91.0
-7428.789693200176,88.0
-13647.198382870589,92.0
-14988.02905183602,99.0
-20827.076922285883,94.0
-8452.022545071086,44.0
-15390.466773490727,76.0
-9683.357601500178,97.0
-7403.621813382661,60.0
-20061.0198590371,90.0
-13077.34875317586,56.0
-10590.129029123615,68.0
-11632.725467079466,50.0
-6734.67320162822,40.0
-7302.321070250546,39.0
-7810.035747625736,41.0
-17162.13658933698,104.0
-25476.260795333623,107.0
-21988.555106821404,83.0
-11166.24166428387,31.0
-7910.662334676592,70.0
-9733.576256115382,52.0
-12868.93405266727,56.0
-13873.02259568277,89.0
-6661.206450631078,48.0
-16167.371695401067,55.0
-11447.421079669983,86.0
-18084.96467724715,118.0
-9988.847640652779,103.0
-9368.632021776732,45.0
-5827.093824179359,30.0
-5003.025159402488,68.0
-23107.553936855205,53.0
-14447.51718552368,94.0
-10258.56040834144,55.0
-10970.422942971509,56.0
-6895.014798111341,67.0
-11549.514987842933,57.0
-10837.336226969315,85.0
-14362.079743160984,54.0
-10621.63864234286,100.0
-10210.753637743237,73.0
-19323.950747615912,54.0
-24168.06622963914,70.0
-21042.555073224656,46.0
-10036.547393993655,53.0
-16970.604281015392,68.0
-17486.138149170976,76.0
-14315.443150153023,54.0
-8198.000425903581,58.0
-13324.34664140173,46.0
-7966.101987445735,42.0
-17297.76687930281,93.0
-13531.948980179182,87.0
-28649.78442590694,80.0
-12066.032551957744,89.0
-14170.779485548039,97.0
-10487.066036869322,42.0
-12335.605389738514,74.0
-13203.43420282335,54.0
-10461.007210851214,59.0
-12742.310860615868,72.0
-13399.693781298873,90.0
-8139.477200356626,90.0
-31476.582581600393,88.0
-12766.611160660623,71.0
-15799.252699658264,98.0
-10934.927211852213,69.0
-8236.134012139593,60.0
-17851.820162778124,43.0
-14873.422008198411,65.0
-10794.465121761565,44.0
-11246.839505107166,70.0
-16720.38741446143,53.0
-10421.107934118132,40.0
-25534.64004766343,81.0
-6993.891218799272,54.0
-16800.25862474268,69.0
-6632.820569291829,42.0
-16272.792283466828,82.0
-17304.454967192396,73.0
-16921.588791457772,53.0
-21673.44329168299,69.0
-19516.430996098064,80.0
-20254.772464271213,66.0
-21850.400854302297,24.0
-9238.175248095107,52.0
-11547.17796218938,68.0
-6478.908484559624,66.0
-7871.342011448809,76.0
-15892.28268254124,62.0
-18816.859592285495,53.0
-16609.147448453426,55.0
-18628.881962587744,41.0
-23847.410910203263,62.0
-17145.167370449817,50.0
-13010.930824839947,78.0
-10001.400862660958,53.0
-12613.205751435768,51.0
-13737.616855619975,84.0
-10587.912192477219,72.0
-9898.4272485337,74.0
-14133.385338859629,67.0
-10860.808237860438,82.0
-10375.699529821952,89.0
-21348.502021140026,94.0
-11837.557178528285,42.0
-11410.577191194749,89.0
-14824.56739266722,107.0
-19146.893065526358,62.0
-7961.875376327632,41.0
-7632.144246618767,57.0
-12512.396067477679,79.0
-9110.955209994812,95.0
-16567.766849401312,44.0
-26917.81624794334,40.0
-14101.777579546315,67.0
-8015.171273046722,52.0
-5401.526458729691,50.0
-12119.375251909492,83.0
-12974.831048698517,48.0
-17065.809609083386,53.0
-16255.47557491768,108.0
-8901.140692455974,76.0
-23844.049428242135,66.0
-21733.232083331874,55.0
-30087.049806532665,68.0
-18256.68919866642,72.0
-9759.012830653277,82.0
-7876.286516468202,49.0
-17336.275257161702,101.0
-21782.2044041431,86.0
-21251.820406075913,104.0
-11629.066547281996,63.0
-14906.256855894015,57.0
-30355.167965388333,59.0
-10503.940927763497,80.0
-24270.998487131812,100.0
-6501.974194244073,36.0
-21621.46822189141,81.0
-18710.642443738663,65.0
-8254.495215367111,81.0
-7752.902170039619,99.0
-23930.855679421376,101.0
-13317.209825555568,96.0
-18020.998223423085,88.0
-7021.057589817013,47.0
-10272.354025536351,52.0
-9280.697702003032,33.0
-21009.626040680363,85.0
-8699.493066481287,54.0
-19872.14675088752,82.0
-8975.928013789693,91.0
-15975.58785554728,91.0
-11004.495681885459,71.0
-11474.06349145242,45.0
-20776.588396227417,90.0
-17261.09486903074,81.0
-23130.28582086982,56.0
-12888.759963087436,87.0
-15381.539811068025,60.0
-9266.645934200438,82.0
-31307.860618373026,92.0
-18453.39563393996,84.0
-23822.48971991941,86.0
-12484.802677087631,64.0
-13510.163317187138,89.0
-21632.11139733076,36.0
-31527.230620609924,66.0
-20660.142442834796,97.0
-7725.196185735148,78.0
-13278.787352333029,101.0
-13061.711961613792,52.0
-11890.327542286112,57.0
-12332.491871859494,80.0
-8361.630935631734,101.0
-7905.593727749591,48.0
-15441.94715108194,56.0
-18912.83726955548,115.0
-25755.812061566518,62.0
-15840.729092333513,58.0
-18192.860394443585,69.0
-16798.13977387942,95.0
-11848.599455064417,53.0
-14783.87973147033,68.0
-24725.84906001819,77.0
-19766.127976055457,61.0
-26425.06679995149,80.0
-29692.202559649682,68.0
-9534.774041073251,47.0
-8825.079240077615,75.0
-24380.56067959943,74.0
-7731.436308035264,53.0
-11460.257022906168,51.0
-12802.122515688643,75.0
-10726.74829120722,46.0
-7254.219427193236,83.0
-16263.244379077081,63.0
-24944.067302296084,63.0
-12371.383624258608,88.0
-7224.435812840752,43.0
-9471.533875014697,69.0
-9963.312015067047,61.0
-17035.35163742899,114.0
-8664.31226344697,66.0
-11022.362187627456,51.0
-30456.619333530398,76.0
-9736.657313616883,48.0
-21470.81636215203,74.0
-19575.525066203103,62.0
-14826.194772244708,90.0
-10973.461272108163,110.0
-20583.354450427607,69.0
-11033.604373082584,50.0
-6599.415654737496,62.0
-12681.19281372131,45.0
-15732.049574320396,113.0
-29404.86984049213,60.0
-9559.378398212197,77.0
-31143.084558074683,45.0
-22902.157180051647,67.0
-22604.03183802537,68.0
-16915.939722805222,86.0
-11191.417155748293,82.0
-8978.235331695803,86.0
-16429.213055024386,86.0
-26213.760502385874,66.0
-11709.526116370434,47.0
-12439.792692651226,78.0
-10835.738331952727,34.0
-11902.54624297846,33.0
-22532.901552998635,77.0
-30817.799318397294,68.0
-6792.6184432390955,45.0
-14875.224775626331,64.0
-12483.393493691472,42.0
-23997.017171664913,57.0
-12424.897241121622,69.0
-9340.011839772265,35.0
-15861.361227059018,71.0
-9658.358600707525,75.0
-14134.958439160278,48.0
-30703.555589342694,98.0
-13431.671103154311,57.0
-19521.16491658631,83.0
-16823.03814144153,42.0
-23286.383496444178,90.0
-10538.271379310405,45.0
-14653.855040508228,114.0
-13362.876585978196,81.0
-23251.304845984938,62.0
-10971.743992696865,84.0
-19367.884000286835,91.0
-15893.459177365046,95.0
-17118.325617619637,114.0
-15344.803253567436,54.0
-13226.249032597801,78.0
-18997.88949235425,74.0
-13043.193543503467,92.0
-16364.16227316183,95.0
-19247.028880547776,74.0
-21659.89503017761,49.0
-21177.719827096513,95.0
-28482.286219405723,48.0
-8921.50296959351,108.0
-19183.229220615583,49.0
-8901.127791776997,101.0
-7057.859439531896,57.0
-8827.584242596431,38.0
-13360.831425397892,53.0
-9180.08623810494,75.0
-11880.418436009573,99.0
-15568.719971776643,39.0
-14748.762142619998,57.0
-11119.92767809227,92.0
-11053.270834648029,49.0
-15535.897315226995,84.0
-7387.90869813975,61.0
-9514.893129384453,101.0
-9826.765460434486,77.0
-9047.333499720327,17.0
-9863.938659217225,93.0
-11436.29198577344,80.0
-8137.141228542321,57.0
-11295.929635403416,93.0
-10109.712427017112,77.0
-18450.807261127862,39.0
-22530.649359425213,62.0
-10575.92636169395,59.0
-10552.530849663392,90.0
-9536.935851989765,32.0
-13265.939089919082,20.0
-13688.408538114687,100.0
-7773.42905519397,39.0
-14664.703115947214,102.0
-27456.915697119548,84.0
-8960.844096328346,64.0
-20625.562074614656,71.0
-13787.82470725195,55.0
-10603.17587128556,81.0
-7663.881558948604,59.0
-20400.508134209053,49.0
-13410.695583926803,59.0
-23242.3014483069,80.0
-12319.589133765512,92.0
-30918.10954391994,54.0
-6740.49973141938,42.0
-19195.593488437313,63.0
-11724.64698737175,81.0
-11993.181967649158,63.0
-15910.05045616972,79.0
-15239.706754009758,68.0
-12902.179280552413,65.0
-11511.038440211663,62.0
-17935.25393377767,111.0
-18463.039891853685,67.0
-20902.70878843325,104.0
-9439.268300963424,89.0
-6047.028932253896,52.0
-23260.25583867754,97.0
-16964.58166636127,91.0
-22539.357073625062,61.0
-10655.072617839884,92.0
-19658.84102293432,95.0
-11706.986631211279,94.0
-18407.947662282597,44.0
-13012.93590893702,90.0
-10639.964493373249,52.0
-9556.07394139353,63.0
-19119.21290285361,49.0
-11392.398641667685,51.0
-12404.45163665558,55.0
-7841.772156416661,76.0
-20463.944482413244,65.0
-6362.781792380607,84.0
-10149.025419361127,51.0
-25580.487128730572,112.0
-13472.522413541483,80.0
-9808.66517308272,99.0
-14985.835816943001,73.0
-9293.482072643943,49.0
-14922.704614656608,72.0
-32045.481716638333,69.0
-12624.944800153553,92.0
-23027.27146942147,94.0
