empl_chge_lc1vs0_iate,emplx2_2
-0.9634167948022159,2.0
-0.5453422981201134,2.0
0.6666494513194443,2.0
0.5096580440423704,2.0
1.4517159452015946,2.0
-0.7428061191956841,1.0
-0.9324086589977639,2.0
-0.0708192196109973,2.0
-1.1342814806760286,2.0
-0.24015640346631162,2.0
-0.4281509720397187,2.0
-0.017549189285268996,2.0
0.08314187591059807,2.0
1.9700375599991249,2.0
-0.26604671348066145,2.0
1.4431274486522965,1.0
1.0253038315072935,2.0
-0.9335430663136792,1.0
-0.3383814866922218,2.0
-0.6863659672846407,2.0
1.4563309729326495,1.0
-0.5012921884964866,2.0
1.2244150014060864,2.0
0.10325358397794482,1.0
0.167782965639094,1.0
-0.06522088831465278,2.0
-0.7387763401160594,2.0
0.39889371790338285,2.0
-0.22620092924556698,3.0
0.27973286551168286,2.0
-0.6813837673007856,2.0
1.042715275942969,2.0
-0.6102665915996517,2.0
1.6547640212993209,2.0
0.06710447210823561,2.0
1.261506079449823,2.0
-0.12452002668364232,2.0
1.1981694137222523,2.0
1.6480667532783304,2.0
0.4723977096511649,1.0
0.5764040837909852,2.0
0.020034179529311358,2.0
-0.9016373642386782,2.0
-0.15112230893682,1.0
-1.1126734393718425,2.0
-0.8117893988746361,2.0
-0.12859496040714946,2.0
1.1457490981889908,2.0
1.63680142012793,2.0
1.8363203343579357,2.0
-0.19694942423269074,1.0
0.43030078084021356,2.0
-0.7990705614977177,2.0
-0.5148589590097756,1.0
-0.11736448261705099,2.0
0.31612780724826584,1.0
1.0323661874412438,2.0
-0.30143405623396685,2.0
-0.07583006583612778,2.0
-0.4020993588794355,2.0
-0.4956229535645935,2.0
-0.24584878810364721,2.0
1.1443442737082392,2.0
-0.5792170374671181,2.0
1.1185622456268927,2.0
-0.37968106589607786,2.0
-0.20596170594076893,2.0
0.8458362451584277,2.0
-0.06852917512813511,2.0
-0.4794923788640046,2.0
-0.4139784740465601,1.0
1.2846120180458254,2.0
2.213154106676043,2.0
1.1691090957142825,2.0
-0.059416253187400625,1.0
0.6866369254480924,1.0
1.8550118144210082,2.0
0.4086139545449891,2.0
-0.3265132929023289,1.0
1.2655477209888675,2.0
-0.41708982225665525,2.0
-0.3694795696032014,2.0
-0.6112833783025833,2.0
0.6713983887754189,2.0
-0.3557326605351567,2.0
-1.0548318988013126,2.0
-0.3382453586252589,2.0
0.17362599073451823,2.0
0.2627595589949704,2.0
-0.17525815291986152,2.0
-0.8351048940856525,2.0
0.053919042064154765,2.0
1.188040281935225,2.0
-0.5899738269541508,1.0
-0.3300977369326793,2.0
-1.1611768272210239,1.0
0.13485727190327318,1.0
-0.9908396711873769,1.0
-0.22362743265405316,2.0
-0.49971106677545185,2.0
-0.07640406077893286,2.0
1.2980150783484128,2.0
-0.6749952017873703,2.0
