sal_9_lc2vs0_iate,emplx2_4
-3358.680895159322,2.0
-1903.6280669545886,2.0
-4931.958321867742,2.0
2983.9704667949895,2.0
-3604.485973955432,2.0
-4471.713580237693,2.0
-6847.678518758107,2.0
-3938.930034439788,2.0
8985.881294271725,2.0
-8815.34240604239,2.0
-7111.983315926804,2.0
5115.08993656406,2.0
-11234.199336693458,2.0
-2751.4334285930317,2.0
-10493.929240808633,2.0
7726.677401544899,2.0
-708.4581747494722,2.0
-3508.205553146302,2.0
5521.434003231532,2.0
9788.896248779529,2.0
8515.844471124135,2.0
-1132.6406638788396,2.0
536.2892645716936,2.0
10011.87264070184,2.0
395.58936910190096,2.0
5480.118080074231,2.0
-10812.29453360216,2.0
-1508.9782193301926,2.0
4009.656737819021,2.0
5602.222329275221,2.0
6241.350074048765,2.0
531.1604955441853,2.0
6095.700735548446,2.0
6282.343049315361,2.0
1291.4156416104438,1.0
-9823.379269874493,2.0
-3824.266387908041,2.0
3145.2249669780203,2.0
-14510.319132045177,2.0
-6531.730475798756,2.0
5454.638814387857,2.0
-41.154911288540916,2.0
-4325.516481814296,2.0
5673.7679705550545,2.0
2298.826361669045,2.0
4983.523208851302,2.0
7654.258799073019,2.0
-317.5485083065805,2.0
-9450.878059326931,2.0
11081.355022268868,2.0
-2025.068190227843,2.0
-6604.34809835058,2.0
-1169.2146764862132,2.0
7012.563315952189,2.0
13588.389603053047,2.0
8955.49079027206,2.0
-12491.450705360514,2.0
8111.0810830281225,2.0
1569.2105882168348,2.0
-8898.465904026983,2.0
-9614.402155160382,2.0
9910.13871863957,2.0
263.33936178480735,2.0
-5856.449409166105,2.0
135.08430483655223,2.0
-1603.109375741844,2.0
7322.291793013586,2.0
6263.144188216169,2.0
-993.53889235459,2.0
2285.632506964678,2.0
-1358.2435135197165,2.0
1009.0357214883685,2.0
7182.242043385881,2.0
8122.975234357397,2.0
5060.655751112001,2.0
6111.195073096449,2.0
5934.344250096725,2.0
7202.814492878216,2.0
3251.9134708483975,2.0
-2883.3765973667446,2.0
2803.4660418169306,2.0
-3230.5143093916076,2.0
-1419.2640883716688,2.0
2294.01080991203,2.0
10777.732760138051,2.0
3700.9393749977307,2.0
2167.7363102370305,2.0
-645.9147870603856,2.0
11220.3122611187,2.0
10656.21840047412,2.0
-4469.437941642345,2.0
8804.945832888105,2.0
-7576.767832249758,2.0
-753.4534158952792,2.0
9992.833140585975,2.0
-8142.110192669809,2.0
-75.75330908404612,2.0
1997.570866754757,2.0
4352.9231551089615,2.0
-757.1525901939472,2.0
-472.42835780025166,2.0
