upper,effects,lower,ate,ate_l,ate_u
-12193.251573027457,-18587.97629789734,-24982.701022767225,-7232.653719973279,-5615.921863886084,-8849.385576060475
-12179.453976191959,-18548.83779938484,-24918.221622577723,-7232.653719973279,-5615.921863886084,-8849.385576060475
-12168.428759886632,-18509.707891540475,-24850.987023194317,-7232.653719973279,-5615.921863886084,-8849.385576060475
-12132.522940612998,-18470.76069312825,-24808.9984456435,-7232.653719973279,-5615.921863886084,-8849.385576060475
-12127.313706288605,-18432.6339780108,-24737.954249732993,-7232.653719973279,-5615.921863886084,-8849.385576060475
-12101.980019085684,-18393.295443893938,-24684.61086870219,-7232.653719973279,-5615.921863886084,-8849.385576060475
-12078.223712645136,-18354.73708190997,-24631.250451174805,-7232.653719973279,-5615.921863886084,-8849.385576060475
-12054.727531582746,-18316.18057396287,-24577.63361634299,-7232.653719973279,-5615.921863886084,-8849.385576060475
-12034.254171046341,-18277.60388621853,-24520.95360139072,-7232.653719973279,-5615.921863886084,-8849.385576060475
-12012.609943769636,-18239.54132092703,-24466.472698084424,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11983.227751002007,-18201.298217169864,-24419.36868333772,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11978.05606494272,-18163.759035420142,-24349.462005897563,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11964.714568619478,-18125.988164458988,-24287.261760298497,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11944.5437595359,-18088.3985033949,-24232.2532472539,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11920.490268756766,-18050.929891997384,-24181.369515238002,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11876.63894107682,-18014.814855214965,-24152.99076935311,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11862.813374418207,-17980.70829296745,-24098.603211516696,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11805.207916414638,-17946.472644454145,-24087.73737249365,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11801.900464696308,-17912.332811937024,-24022.76515917774,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11803.020150613453,-17877.53626936495,-23952.052388116448,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11776.454900266044,-17843.47711877269,-23910.49933727934,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11754.16144373985,-17809.28188034884,-23864.402316957832,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11756.77394595852,-17776.227248891486,-23795.68055182445,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11744.290570597652,-17743.71163463123,-23743.132698664806,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11720.367810874588,-17710.747966006827,-23701.128121139067,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11728.986284719931,-17677.365716959946,-23625.74514919996,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11703.143289442014,-17644.10965002447,-23585.07601060693,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11657.900925198057,-17611.200512235282,-23564.500099272507,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11665.52047648931,-17578.296876148874,-23491.073275808438,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11658.998587065636,-17545.399386119974,-23431.80018517431,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11638.275691538094,-17512.91712899552,-23387.558566452943,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11599.931373543255,-17481.620958667194,-23363.310543791133,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11596.880186689574,-17450.697550548986,-23304.5149144084,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11593.644937604648,-17420.132209281113,-23246.61948095758,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11583.193726325033,-17390.550672663863,-23197.907619002694,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11578.000976907842,-17360.942214119128,-23143.883451330414,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11556.120179230045,-17332.12543380485,-23108.130688379653,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11540.731062834751,-17305.18176720014,-23069.632471565532,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11524.656770894977,-17278.059542494288,-23031.4623140936,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11513.242788545567,-17250.77851661122,-22988.31424467687,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11495.468000666224,-17223.541096629768,-22951.61419259331,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11475.089538924754,-17196.36951973566,-22917.64950054657,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11468.422240775304,-17169.220041985183,-22870.017843195063,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11459.851677669483,-17142.268620010538,-22824.685562351595,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11456.343619629086,-17115.298403444936,-22774.253187260787,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11445.898851844388,-17089.039436765688,-22732.18002168699,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11393.94578402973,-17062.878342850865,-22731.810901672,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11381.722913445577,-17036.84504228093,-22691.96717111628,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11383.058793072501,-17011.26428876887,-22639.46978446524,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11362.127344556819,-16985.099906621737,-22608.072468686656,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11344.380865976495,-16958.201316352264,-22572.021766728034,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11324.85815519854,-16931.35750652291,-22537.856857847277,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11283.722254701104,-16904.278145075346,-22524.83403544959,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11262.287235613803,-16877.54399185875,-22492.8007481037,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11242.79043677318,-16850.717563517,-22458.644690260815,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11243.184193946103,-16823.393826134656,-22403.60345832321,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11208.860182348353,-16796.026612380578,-22383.1930424128,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11191.829589768378,-16769.100006210694,-22346.37042265301,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11175.49387407194,-16742.19994080675,-22308.90600754156,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11155.8272675598,-16716.07923987216,-22276.331212184523,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11120.302613302581,-16690.0126488346,-22259.722684366618,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11126.867678830014,-16664.420292337876,-22201.972905845738,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11132.264545323706,-16639.182697695618,-22146.10085006753,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11111.589024652932,-16614.043096852547,-22116.497169052163,-7232.653719973279,-5615.921863886084,-8849.385576060475
