grid,density
-35922.958038658,2.1000895088340334e-07
-35883.69694945226,2.1448353148446785e-07
-35844.43586024651,2.1884567982146915e-07
-35805.174771040765,2.2309539589440552e-07
-35765.91368183502,2.2723267970327794e-07
-35726.65259262928,2.3125753124808627e-07
-35687.39150342354,2.3516995052883058e-07
-35648.13041421779,2.389699375455115e-07
-35608.86932501205,2.426574922981278e-07
-35569.60823580631,2.480666988830931e-07
-35530.347146600565,2.5435701748854736e-07
-35491.08605739482,2.604974264085828e-07
-35451.824968189074,2.6861735872960737e-07
-35412.56387898333,2.7974297128390746e-07
-35373.30278977759,2.9388264648815906e-07
-35334.04170057185,3.077683875766256e-07
-35294.780611366106,3.231393689460123e-07
-35255.519522160364,3.393291932376749e-07
-35216.258432954615,3.55219198158503e-07
-35176.99734374887,3.708093837084907e-07
-35137.73625454313,3.881146689863417e-07
-35098.47516533739,4.059304621685438e-07
-35059.21407613164,4.249177948627452e-07
-35019.9529869259,4.4725815798583537e-07
-34980.69189772016,4.6967709055204683e-07
-34941.430808514415,4.916837714833568e-07
-34902.16971930867,5.132782007797652e-07
-34862.90863010293,5.344603784412722e-07
-34823.64754089718,5.552303044678815e-07
-34784.38645169144,5.808770466724169e-07
-34745.1253624857,6.064563435786188e-07
-34705.864273279956,6.327257591314245e-07
-34666.603184074214,6.601669057527865e-07
-34627.342094868465,6.870833684751881e-07
-34588.08100566272,7.134751472986192e-07
-34548.81991645698,7.393422422230848e-07
-34509.55882725124,7.664829498077338e-07
-34470.2977380455,7.950998242059621e-07
-34431.036648839756,8.257490658011932e-07
-34391.77555963401,8.579142346910744e-07
-34352.514470428265,8.894422874179201e-07
-34313.25338122252,9.204526327360524e-07
-34273.99229201678,9.535565693965208e-07
-34234.73120281103,9.85985912472611e-07
-34195.47011360529,1.0177406619643106e-06
-34156.20902439955,1.0488208178716264e-06
-34116.947935193806,1.081637594071875e-06
-34077.686845988064,1.1156901246201909e-06
-34038.42575678232,1.1503610451485406e-06
-33999.16466757657,1.1863854177738185e-06
-33959.90357837083,1.2252330159128679e-06
-33920.64248916509,1.2640080053356658e-06
-33881.38139995935,1.3069001227933496e-06
-33842.120310753606,1.3508099014432772e-06
