sal_avg_lc1vs0_iate,olf_x0
-6718.468603575588,3.0
-20004.117829970786,9.0
-4994.176749152037,62.0
-5496.55923926767,38.0
-4302.962053225012,54.0
-5998.531895427333,69.0
-4408.920118722363,5.0
-3362.96784283539,54.0
-1128.8177198612439,49.0
-12334.234629367968,28.0
-12821.893128497695,29.0
-8054.5514265533075,33.0
-14090.634343899204,35.0
-7617.009346591939,57.0
-2796.7528572068677,25.0
-924.3493473975333,47.0
-6411.868072222465,64.0
-20986.804676169333,14.0
-3079.8646357343596,66.0
-11235.677003808369,24.0
-3300.177699021645,63.0
-6319.144300785712,57.0
-7220.067168747152,20.0
-3752.450922899925,57.0
-10122.392623717966,48.0
-2059.022433649012,54.0
-4420.459952515184,59.0
-3657.864961302712,71.0
-14497.581488513384,58.0
-3280.972619140175,65.0
-10016.712359354979,38.0
-14130.109560966343,14.0
-11526.239612007645,47.0
-9627.575265321331,38.0
-10242.502781571558,14.0
-12375.299110150592,28.0
-12775.022272749107,18.0
-2962.4747961838993,69.0
-5733.944012197649,57.0
-412.16662863333386,75.0
-4173.934912833149,41.0
-4446.523276926742,82.0
-5546.287796963205,34.0
-6644.113947641672,27.0
-20463.510461793707,15.0
-11421.985827900826,34.0
-14588.283114557971,57.0
-4296.9341605022455,58.0
-15308.381580177347,45.0
-1918.6337455126786,28.0
-4904.122555143581,75.0
-3782.712618864375,43.0
-4336.14058556478,67.0
-13019.588975640676,23.0
-4701.720109369653,47.0
-1862.2777478242606,75.0
-1651.7998929613914,76.0
-2245.9113882877136,47.0
-5098.816434561996,43.0
-16139.686901748268,58.0
-7755.282672002699,36.0
-5407.08598283951,42.0
-4648.452389895047,11.0
-520.2555182121823,15.0
-19495.373864824534,26.0
-4733.99346998361,5.0
-5677.709380763718,30.0
-5579.931288879409,23.0
-21197.190502766305,21.0
-14020.929154737749,11.0
-12981.516844003236,23.0
-2648.987215829232,43.0
-16753.22068041909,48.0
-8524.629155095867,54.0
-5975.722087964356,2.0
-9125.532586995547,35.0
-7619.046303009428,29.0
-2855.586163825934,45.0
-3025.8097797928276,21.0
-2497.1665053223387,26.0
-7184.193202091382,12.0
-2807.523195563472,83.0
-3080.209531283679,65.0
-5494.654000863124,62.0
-1819.1616023078786,72.0
-13599.512198976117,14.0
-4661.803029523228,20.0
-4762.071432685161,63.0
-5145.8303435802845,33.0
-21717.09240546481,7.0
-3919.964005010719,64.0
-4024.195172315309,82.0
-2932.832439347376,50.0
-4971.014798354618,22.0
-2767.8809390932056,65.0
-5493.866697337418,46.0
-3395.332213811672,15.0
-2909.1529854074083,53.0
-9920.038541856886,34.0
-4852.356244613504,40.0
-5584.926950041488,57.0
-7964.870549707955,6.0
1188.264489757641,63.0
-10620.14815116794,46.0
-1895.3452563455148,75.0
-797.0658975308497,70.0
-2664.5307177555405,64.0
-14399.804235434925,23.0
-2840.982919313621,43.0
-294.82386166505825,76.0
-3326.16243834518,9.0
-17341.001304706522,27.0
-13342.804826578384,56.0
-6679.770675387857,17.0
-10378.034609233018,42.0
-7586.032266469161,15.0
-2138.3843792674666,62.0
-2962.947797366007,62.0
-9445.061591712045,21.0
-4628.850483957177,58.0
-2371.945529551689,24.0
-2504.6642034590986,49.0
-7650.088853001283,60.0
-10049.364534438411,57.0
-16409.512754677424,13.0
-2227.1544694534746,38.0
-7726.152897312457,32.0
-14604.01587291501,31.0
-6757.192295640221,46.0
-7165.033228111048,22.0
-996.4244833159028,42.0
-13969.073750347066,11.0
-11130.593381398496,4.0
-11059.005339752526,32.0
-20418.00601613143,22.0
-4505.262376376644,27.0
-2650.541807093163,44.0
-4300.2829864926025,22.0
-4476.765153839629,34.0
-5152.243767786587,4.0
-2561.134512646271,69.0
-7682.127741808816,60.0
-1111.2948748196618,23.0
-4978.012447428833,20.0
-2407.823753415889,16.0
-12672.240773153246,5.0
-6232.158946257013,17.0
-18260.908580148935,14.0
-12529.22791783786,35.0
-14267.555802736057,22.0
-3386.4387374681355,71.0
-2321.113462848197,52.0
-6625.325877134188,32.0
-6255.207636035607,46.0
-2312.351440555054,59.0
-4528.12110400387,42.0
-2136.024496009291,56.0
-3797.049319575912,23.0
-2549.244477343338,72.0
-1035.8719310758015,43.0
-16020.440062487536,11.0
-7332.0449117115495,14.0
-12498.667019472758,44.0
-7674.683263877325,33.0
-5373.937467221862,58.0
-686.1375662136179,40.0
-2780.854156387918,35.0
-7917.3120189264855,39.0
-15153.016100497083,43.0
-2322.729195925518,71.0
-13659.446268026304,19.0
-6929.011200109049,54.0
-4178.24318679288,74.0
-6760.580360149945,37.0
129.0258704716989,79.0
-3188.3456954588783,33.0
-9516.46720148789,19.0
-12148.93119437116,54.0
-17467.404146722078,53.0
-99.55215731127976,21.0
-9954.110087712743,58.0
-12340.991839544762,45.0
-22115.340534184277,26.0
-13646.644695816767,21.0
-19331.30150918461,12.0
-5221.6323170013475,37.0
-9035.514445965619,38.0
-5633.825468059045,67.0
-3150.3597379570047,28.0
61.60349985900598,54.0
-809.3600076635769,41.0
-5088.28188985917,39.0
-9845.0089091722,45.0
-2325.1764468510314,21.0
-1401.3863216818309,31.0
-5462.314517675968,24.0
-9208.440692572243,28.0
-12060.361812287852,45.0
-1877.1333062559233,28.0
-7939.821816474209,56.0
-4289.047389677109,29.0
-4329.475988185808,84.0
-6057.285302540814,60.0
-12858.643002236695,20.0
-3233.468108602967,42.0
-15721.164024572408,10.0
-4019.193578120883,52.0
-4551.624874001085,36.0
-12667.710940098934,11.0
-7407.42116595402,28.0
-791.8595690477705,39.0
-516.7286420895107,49.0
-4374.179819366849,59.0
-9612.92341891613,43.0
-3124.1194900100436,39.0
-4393.087762808688,16.0
-9281.123888493767,19.0
-13369.916645841364,30.0
-332.6247287640011,46.0
-4420.848347727806,45.0
843.4764231047986,62.0
-4501.6520178244255,60.0
-14574.756331154886,6.0
-5898.811925904288,78.0
-10915.62995720756,26.0
-3393.5474613805527,39.0
-1790.2938023615297,85.0
-6779.62190486842,60.0
-11186.295105876992,54.0
-2072.3387249033312,67.0
-4728.134292884335,54.0
-2464.544454967063,26.0
-4890.754711351303,64.0
-1975.4436891613843,16.0
-14353.168442913953,28.0
-5248.791732272066,26.0
-3258.65984380615,48.0
-14484.53520635545,30.0
-13719.42061313944,15.0
418.7795160312018,43.0
-5820.403460492718,12.0
-3923.809481553683,50.0
-6012.458123978593,40.0
-1908.310015637578,45.0
-9083.872791494337,53.0
-998.0694382643395,9.0
-6671.742299915236,51.0
-12379.881014613524,8.0
-4216.2192773216475,80.0
-6693.013615916121,58.0
-11071.2085680109,33.0
-2478.543754149246,39.0
-488.413374051133,47.0
-13691.72052806198,51.0
-14128.533776318436,7.0
-15912.337258743926,24.0
-6756.4589075064405,67.0
-8183.009400915584,29.0
-9451.040630731291,27.0
93.47101372796897,40.0
-915.5316926913898,23.0
-13203.22852541862,41.0
-8542.443471992334,5.0
-11755.0004357309,11.0
-10728.017803723185,53.0
-4820.271094648853,29.0
-5014.965581160821,17.0
-5736.63685391739,24.0
-12197.97238310924,3.0
-4411.591303861553,53.0
-8965.257763357766,38.0
-4581.807766112252,22.0
-5883.638922952283,62.0
-1220.4746276351075,55.0
785.5890665439154,27.0
-4930.2394592706505,47.0
-7355.3104714523215,6.0
-6842.912065521707,22.0
-8311.348487358666,42.0
-15470.406179081358,57.0
-1384.8947845838254,25.0
-5625.061268035523,26.0
-5395.67485102924,60.0
-15147.025265905453,43.0
-2822.5401888264714,44.0
-6903.310919547794,50.0
-423.39900864083916,26.0
-3055.2002107567846,39.0
-13555.96118554968,50.0
-3565.720696760329,41.0
-2868.266246380026,45.0
-4596.493203592745,61.0
-6738.5403138022575,51.0
-6028.078368799315,59.0
-14046.276332787986,37.0
-5652.72043934389,17.0
-6392.651848260659,38.0
-11651.224493031139,15.0
-5094.066725552313,44.0
-3774.519378786783,41.0
-11254.285114087923,35.0
-4794.233587543226,26.0
-2693.174591155995,17.0
-5392.059907346633,56.0
-986.6002414598258,27.0
-281.54675123060633,53.0
-9157.941354466155,13.0
-13578.04074563397,48.0
-7487.506792336428,28.0
-3109.370698012696,40.0
-3913.2121345586183,3.0
-14162.201534433103,36.0
-12089.657537156761,16.0
-4952.782302663369,53.0
-21019.058765765585,18.0
-14377.80278587337,59.0
-1768.7706594950723,21.0
-13032.786842559997,31.0
-1578.4339274905042,10.0
-2951.3700701380494,7.0
-15797.855253188935,7.0
-4429.474466530128,59.0
-4838.923590867564,38.0
-4005.9592596586826,17.0
-2919.7176323197973,52.0
-4806.106171835136,19.0
-3854.880291943179,53.0
-5716.18291391208,38.0
-1170.2571990466831,66.0
436.6982479815158,69.0
-3219.776626640809,61.0
-1996.0484140403523,58.0
-18129.880000110792,14.0
-18359.97289274449,12.0
-8083.324319560274,18.0
-1210.0758095611673,84.0
-8592.231622147412,32.0
-5871.968701092864,58.0
-11569.190347748565,42.0
-6968.749078568313,23.0
-3664.6796309003876,62.0
-5548.876307371849,55.0
-5627.451770555056,24.0
-8283.52835393668,1.0
-7160.9910878070605,11.0
-310.37168021049644,73.0
-1435.81757479522,79.0
-7042.406618480247,50.0
-4984.466581442169,50.0
-56.33232408046345,21.0
-890.7201069562046,60.0
-5623.532942652186,58.0
-5396.959513890426,49.0
-6354.2047238725245,49.0
-13081.173822566274,30.0
-3516.0683503919918,46.0
-13179.946094300194,2.0
-1402.111887458308,38.0
-5064.680268330811,44.0
-15142.03915054749,35.0
-12184.736648898739,56.0
-11721.25805756469,60.0
-3554.0336516271745,48.0
-2336.861100870028,40.0
-3087.421922571015,49.0
-8116.2432350993,58.0
-4256.0200047777635,73.0
-3166.2687227382407,57.0
-5083.098479900222,25.0
-7249.239492437258,31.0
-7654.06532204916,24.0
-5036.03412197274,23.0
-2927.630551073811,18.0
-1845.1371319304158,75.0
157.73924563196465,30.0
-1310.7774424573422,50.0
-3778.114919996483,58.0
-2314.6919275686764,38.0
-12962.884879629297,26.0
-3063.3670505006544,30.0
-20362.931802059928,16.0
-15476.810906670038,34.0
-7412.540871392797,13.0
-11445.4817573018,42.0
-2723.537583021282,50.0
-2675.1133827060294,70.0
-4006.180352637505,34.0
-3638.1642275587865,67.0
-1908.294428524015,47.0
-9689.44098313031,58.0
-2557.6141537202516,65.0
-16016.323432450354,33.0
-9480.106396580893,44.0
-6308.700603407122,44.0
-979.3349252982796,64.0
-3821.86625847277,36.0
-10013.19827576287,31.0
-6690.749180257396,44.0
-13466.165737206347,36.0
-4166.463158603381,25.0
-6964.490701030812,32.0
-5169.819878103175,78.0
-2257.6984564895297,47.0
-13247.345947612273,50.0
-1294.5215235593964,52.0
-4270.438668968396,38.0
-5388.595103984488,55.0
-17338.561453190447,60.0
-8050.913766130763,43.0
-3428.049271649319,71.0
-5141.046663683175,44.0
-9916.177181186193,59.0
-4320.656988476179,39.0
-4407.522207813248,63.0
-2230.1933231354724,56.0
-2217.3322666341087,21.0
-2434.1966156409608,24.0
-1330.1147751756966,22.0
-5202.01330874447,47.0
-5142.564051904001,32.0
-51.97855476979453,29.0
-16293.842130432646,26.0
-6083.449440380387,54.0
-1697.25343347294,30.0
-5329.038740216332,5.0
-10995.475890302167,57.0
-1936.9311912179614,71.0
-7147.902861578556,42.0
-5789.560563698852,34.0
-3384.6712028387556,19.0
-4309.1454297339005,53.0
-18055.148318792264,58.0
-12295.465366261202,48.0
-3357.19115057234,66.0
-96.74307384329427,50.0
-55.19507577970222,14.0
-3596.1298118226423,69.0
-4652.364577773316,63.0
-11656.60853093363,7.0
-6822.059793696728,32.0
-3062.0748199785485,41.0
-14704.13996861499,60.0
-22613.33495117436,39.0
-11681.714306483213,48.0
-2690.328832907178,25.0
-145.76452319616465,60.0
-9534.153239810177,6.0
-8783.251104575225,24.0
-11848.243754399995,14.0
-6825.626377529973,56.0
-5914.429739644209,59.0
-18599.305977015687,50.0
-11797.697044277511,36.0
-11779.350052012396,18.0
-1228.144689300819,75.0
-5070.627808423444,19.0
-2013.7771281006735,33.0
-4184.450382434787,29.0
-4429.686481721787,21.0
-15704.460182145112,16.0
-17538.792802188327,20.0
-15469.449232276142,29.0
-6605.8529427610465,49.0
-6822.9162540114085,55.0
-2804.1733946980526,73.0
-14581.692431403177,26.0
-2898.821256782981,54.0
-12532.896318914685,30.0
-9409.879074009157,5.0
-811.951978044432,8.0
-6835.83232084338,34.0
-7881.885374983099,57.0
-4014.51886706782,24.0
-8848.296479403356,38.0
-4922.656449051392,41.0
-7944.97828854921,15.0
-3316.8892568799674,57.0
-15515.62960784151,25.0
-20928.293569871956,11.0
-10876.75302727928,33.0
-15384.926845707749,11.0
-2208.539319741446,46.0
-4678.384697793139,23.0
-5325.26382253275,75.0
-20550.250884253855,44.0
-13565.752192353077,12.0
-13920.475668151386,22.0
-3002.2481816884783,17.0
-4031.360242911709,49.0
-8808.473852875817,60.0
-10102.307806520617,22.0
-5954.354116014112,2.0
-834.0120585124301,70.0
-8727.131418268327,55.0
-6971.425860202112,2.0
-18402.801206939464,35.0
-17242.613398071877,59.0
-14923.882998099945,30.0
-5249.849177096246,9.0
-6792.929377688577,61.0
-6525.790521230949,39.0
-15448.370582953497,21.0
-8992.764398352394,46.0
-7627.7835946544765,24.0
-8520.930671184014,35.0
-563.6565441697796,70.0
-11149.090747767623,32.0
-17383.33206356701,32.0
-7822.022903112245,61.0
-2240.4664548704013,55.0
-6999.3454986042525,29.0
854.0491751777736,63.0
-4172.757175669629,22.0
-4827.962497706103,42.0
-20328.30628333887,48.0
179.93305316258136,27.0
-7097.035159534632,71.0
-5106.777566478966,45.0
-4588.038865725401,56.0
-11884.86326199716,4.0
-6265.209999379702,33.0
-6140.083691610969,47.0
-9357.132773341014,26.0
-1077.826536331635,64.0
-10621.559893547777,34.0
-5028.92848210696,52.0
-7075.662948813216,28.0
-8751.812149945432,5.0
-3099.572125634313,48.0
-725.2681902015559,46.0
-4552.88559658112,40.0
-9775.89109350858,54.0
-8843.300149767407,6.0
-14507.234004725078,42.0
-5470.599287948854,40.0
-20249.100494719503,54.0
-7580.671063053526,45.0
-5677.719525156944,47.0
-2985.9782101468663,15.0
-4134.77720835058,35.0
-10102.496198394962,17.0
-4030.7429259494365,25.0
-12751.77322724172,39.0
-3534.2888404419527,62.0
-6909.004513306612,24.0
-1383.0933088536685,81.0
-4719.557733115278,69.0
-20228.16106050703,28.0
-20154.06996006283,34.0
-5407.687868960819,56.0
-9282.951957435827,51.0
-1685.250217339345,59.0
-8002.189413050945,60.0
-1505.1932702048953,40.0
-163.1673253667782,80.0
-3364.229114852491,32.0
-12382.373611012477,26.0
-785.2656016715882,58.0
-11640.28117251274,17.0
-11242.977710466548,43.0
-9273.244449386284,32.0
-3677.4248579031373,56.0
-6716.901219636151,10.0
-10287.624947000357,52.0
-11098.278693646747,4.0
-2152.3303372994674,28.0
-12967.934148519556,57.0
-7838.683888259628,23.0
-10298.123622814575,14.0
-3768.7738584967756,19.0
-5105.713567523018,5.0
-5395.137279406862,47.0
-5842.417922098269,35.0
-3478.2529983768654,40.0
-16469.919254384844,13.0
-5090.7367118510465,24.0
-6412.188938437743,37.0
-2126.6436903543436,54.0
-18716.298248804593,21.0
-18466.448424001956,58.0
-12797.577331980196,6.0
-13327.799092772619,57.0
-4226.485652105521,19.0
-4804.748310744681,53.0
1194.0434589090614,72.0
-5720.66564614251,66.0
-3357.9227056011405,34.0
-13508.648013609103,1.0
-1349.949124080772,71.0
-5661.023288830345,62.0
-3564.0472339018597,17.0
-5505.914221874664,70.0
-2140.77813731048,31.0
-3790.6347991416933,51.0
-6906.446417577072,18.0
-4191.59070648288,41.0
-217.50414105855657,84.0
-324.4153535022249,17.0
-13033.596202381646,19.0
-2802.519107376115,51.0
-11595.110095012258,17.0
-7061.107339875247,37.0
-4335.72016988378,64.0
-9068.693718997742,47.0
-6376.66007604625,59.0
-5077.695211014554,26.0
-1851.369301939516,87.0
-5424.4691883584,76.0
-7440.315465169034,4.0
-466.8693287251152,59.0
-6076.861719903968,18.0
-15158.08268129647,17.0
-345.9548637861244,43.0
-4566.201747230991,46.0
-4279.348258360926,41.0
259.818097261558,20.0
-1072.0231667021515,52.0
-5737.331406914178,50.0
-6026.481655128593,52.0
-3107.4482519535068,32.0
-3074.1106843205566,27.0
-11671.155414348235,49.0
-5123.687208246411,71.0
-3733.63496940585,42.0
-5090.046314249408,28.0
-5203.400546725425,48.0
-3704.2742463124423,21.0
-6210.365746286256,46.0
-966.6440061212469,49.0
-9224.913670956226,43.0
-18670.561969752744,2.0
-13722.053139772592,42.0
-14444.355520263085,12.0
-8999.65545879015,7.0
-3843.336820733084,48.0
-17227.20553377229,4.0
-10321.073220665112,17.0
-6285.26855740175,54.0
-13660.553946703412,14.0
-3921.7643673284892,13.0
-12904.248237718628,10.0
-15071.090992090803,57.0
-6644.231587323618,28.0
-1951.4879162243396,62.0
-1958.8129126163522,57.0
-1954.431860891429,52.0
-956.7519150471438,52.0
-4764.917144147628,62.0
-3156.678973509528,39.0
-13636.844949685137,33.0
-5089.585021288243,30.0
-381.75481818053504,50.0
-16280.71806828749,4.0
-4190.076540213204,38.0
-4515.327060372217,18.0
-16278.173398129758,32.0
-6629.478277144476,65.0
-3943.0299898050603,45.0
-9866.98087712207,44.0
-5617.872243598027,11.0
-15395.508036094405,5.0
-5511.373599534315,14.0
-11911.48166490336,30.0
-16546.23974872805,48.0
-9389.747995401638,57.0
-2490.5231286882863,22.0
-5290.95325076227,20.0
-1789.832532866987,68.0
-8350.629791368505,34.0
-12565.851097279392,10.0
-3611.368895360154,33.0
-3160.4273083338785,47.0
-4092.3266513059525,43.0
-14305.763846117105,3.0
-329.22132879383275,56.0
-3641.7268438915253,57.0
-8604.512730170918,38.0
-1812.4775095178616,29.0
-18515.041897015977,37.0
-4339.65173636213,50.0
-14006.05656187819,38.0
-8249.955986238187,5.0
-3936.6379086953975,64.0
-3724.7312005067997,46.0
-4839.155920789715,7.0
-8941.267333289972,57.0
-10027.808965388951,16.0
-1116.7150087366201,46.0
-3096.2155559747735,14.0
-2746.0566670300395,46.0
-10720.364400572636,26.0
-4473.279735240896,60.0
-14705.375014209054,8.0
-9730.080563925556,55.0
-6880.833047391676,54.0
-2419.6823100288384,65.0
-5873.9574890492695,54.0
-5730.993447162773,21.0
-7084.483078169513,27.0
-1069.3471572078292,57.0
-2345.675361204915,62.0
-3319.6144811151657,16.0
-15521.48440904756,53.0
-16406.390510099984,28.0
-2767.2507136746462,34.0
-18705.528106170586,4.0
783.8205406733853,34.0
-2382.6443541126837,58.0
-4313.4433853111605,64.0
-1563.4847888858574,23.0
-2858.1618198331325,41.0
-6762.923043735171,33.0
-12463.632193904388,1.0
-7638.508927584453,55.0
-17188.782326051616,26.0
-11369.334139864824,33.0
-4119.110626717643,5.0
-18992.844319271117,34.0
-4578.749643905232,49.0
-2579.96198903777,47.0
-2965.953557012483,58.0
-3855.2505830849577,69.0
-14958.29205856573,55.0
-4054.2127688174496,63.0
-8067.13580148413,10.0
-1006.2162749109589,48.0
-3836.3663616426747,49.0
-5634.116962650967,42.0
-18348.01718697778,4.0
-9342.519633761462,26.0
-5079.603196041396,56.0
-9184.157053538038,35.0
-6495.098039064708,69.0
-11251.926781849654,46.0
-3260.026322308977,62.0
-12543.555167161436,46.0
-2844.3496622563966,73.0
-15563.392937498336,56.0
-4088.5696819064224,41.0
-13841.827821018851,57.0
-1109.3245971653341,54.0
-5299.953273290589,40.0
-3448.9450884103057,51.0
-945.2162192501019,65.0
-1258.2975223978383,60.0
-254.78076998738788,77.0
-11649.573455353051,26.0
-20649.850181952814,38.0
420.39327705958493,46.0
-3164.6208812525797,47.0
-8574.631855224217,12.0
-14767.521795574252,47.0
-5021.566986475802,57.0
-799.9948775184605,56.0
-5698.792051681788,75.0
-3565.114789417295,22.0
-1901.6343314241012,45.0
-16762.88744233713,9.0
-12868.90106118521,13.0
-635.8986662509295,27.0
-6140.4906402727775,43.0
-2127.5440853736654,31.0
-6572.773337574739,21.0
-5295.141076184427,65.0
-3377.5145524417076,65.0
-2407.924195593372,30.0
-6588.662780477194,66.0
-3455.426665905634,61.0
-371.26488676510735,13.0
-8556.520639013868,59.0
-2754.7909325634046,46.0
-2682.1624889750346,39.0
-11796.552501780558,34.0
-13969.842588507103,10.0
-3927.733335006027,29.0
-5255.988148959441,56.0
-2584.1351879408485,24.0
-6311.568973418749,46.0
-7912.399043235382,6.0
-17552.859763443717,4.0
-3418.994828319377,45.0
-6454.937226118989,87.0
-2172.3382869399557,44.0
-2416.042198883538,25.0
-19453.168489302567,23.0
-15638.424688628531,47.0
-14245.456100122716,19.0
-9626.084246129867,11.0
-5763.03907763655,38.0
-8674.384727513097,2.0
-3102.2337217859204,77.0
-11405.421282696272,43.0
-14384.035086786567,39.0
-6487.989134462951,21.0
-4102.771674107285,22.0
-15275.907712442808,37.0
-14077.53188084977,55.0
-5949.318314520016,68.0
-19805.34713905475,4.0
-17846.138204066796,52.0
-15233.524305527219,47.0
-4811.730053179519,55.0
-10359.605493926145,29.0
-17919.722050939527,29.0
-7937.676237930578,31.0
-6009.106275202472,25.0
-15472.750588417177,41.0
-5945.986877815684,55.0
-3360.8295278863925,53.0
-6956.90262835911,11.0
-2046.7535187907233,84.0
-5368.296531277281,52.0
-3437.7596246061926,12.0
-10732.58486714787,17.0
-11359.553572837627,14.0
-3825.9752090761976,63.0
-1336.984132399859,69.0
-5615.322207070289,18.0
-13205.616897701198,57.0
-5290.836014980232,31.0
-15153.633203338137,25.0
-3655.175989096482,61.0
-16169.361967732735,35.0
-15135.510108805789,28.0
-4771.949467961926,29.0
-3028.49186554453,25.0
-12971.791516916337,40.0
-3309.571277842748,57.0
-3918.672717957141,38.0
-11583.46980423159,44.0
-1922.5718819330837,35.0
-14188.265867126851,35.0
-2652.057164398164,25.0
-7379.305587682102,55.0
-6981.4435278078545,10.0
-1247.4708126816731,64.0
-2872.3175539031245,70.0
-3414.276141268537,34.0
-1695.503693065273,49.0
-5679.082997104733,66.0
-14698.484170428215,4.0
-13660.97192894674,41.0
-21740.211177806133,47.0
-7266.30183218813,55.0
-16573.189335640953,19.0
-15184.438251208678,40.0
-1924.4791151258273,59.0
-3799.1964429037325,51.0
-4820.368538620203,63.0
-4441.810448074274,38.0
-7166.968812804069,15.0
-1386.9502094847285,34.0
-8019.997209089301,25.0
-6678.8689579282745,39.0
-5086.248013597291,54.0
-12302.107758479102,57.0
-6190.457907944236,21.0
-1554.9492896951342,53.0
-19549.702743126127,46.0
-5213.834295295968,42.0
-12520.036304014451,14.0
-10279.804662293851,44.0
-6404.71208967454,34.0
-5811.9528774994415,39.0
-6622.333483545698,57.0
-19803.051719232488,41.0
-3486.0685416798005,53.0
-4205.009179847081,50.0
-6620.442156486022,37.0
-1496.87620306619,35.0
-428.1619432814498,83.0
-2973.522419416826,62.0
-8721.083702069336,39.0
-5757.828312046535,37.0
-4691.857219136406,30.0
-9513.222637004255,11.0
-9349.293195736622,29.0
-4058.4473319383533,35.0
-13327.397358745782,60.0
-2795.4446538236107,35.0
-5122.333873568321,58.0
-3119.002704632814,19.0
-4332.069156000227,75.0
-21262.861672225048,12.0
-984.8781735162906,37.0
-8493.509881976222,26.0
-6938.316765904692,57.0
-4883.7095847546,63.0
-5253.480508985378,37.0
-374.0206653624866,39.0
-6483.455364128824,25.0
-10549.22172831805,5.0
-6563.175372267879,56.0
-19789.52383785443,1.0
-3457.5589492878676,65.0
-14709.857492581239,13.0
-5772.762763671866,54.0
-4331.578456666606,40.0
-4248.588113030772,71.0
-11074.029993724704,45.0
-1601.9803741750657,66.0
-13849.02507245442,44.0
-5107.611310350421,49.0
-4087.3210545438837,29.0
544.8374280693383,45.0
-5372.222446589054,20.0
-3426.965964454421,28.0
-4715.491237914976,68.0
-10281.784853299785,39.0
-3650.6164803315983,20.0
-1340.6023296253918,50.0
-2297.381267799099,18.0
-5916.031685397796,29.0
-3677.0326745399543,50.0
-17085.34743070876,13.0
-4081.1446036816214,47.0
-21849.70478534106,13.0
-4670.244612803565,50.0
-7265.630455902802,57.0
-4136.103038934867,27.0
-4665.773283002163,46.0
-772.1119051960127,30.0
-1280.2304890467703,71.0
-11458.962607555373,17.0
-13999.491212898167,8.0
-5560.484453035747,23.0
-7241.466399271394,43.0
-7798.153064510587,39.0
-11983.928384394807,45.0
-4137.918357821405,34.0
-4020.2867639935157,26.0
-1283.0588670912439,50.0
-6500.485513826188,26.0
-13246.312250346666,48.0
-1681.4903384375143,34.0
-7000.425658280499,37.0
-12300.18658565263,32.0
-4765.791340128106,20.0
-1553.7581559798218,59.0
-3539.6048208689754,17.0
-2111.8377310044175,48.0
-4339.091480324526,62.0
-16565.223725541273,33.0
-20538.381279543974,17.0
883.7483588400612,64.0
14.915914707861248,13.0
-5621.0154831279015,47.0
-11649.463023053087,11.0
-11822.249357163855,7.0
-4922.013556863056,30.0
-5826.535394452257,63.0
-4136.539848117782,72.0
-6169.259721941997,22.0
-8121.707399347002,50.0
-4456.009565439326,55.0
-2659.835028649275,26.0
-2405.3079907805295,6.0
-8869.027991217246,50.0
-7089.700935000616,44.0
-10401.340893501718,16.0
-12897.961781745998,60.0
-9694.219732915035,35.0
-4039.24389345667,42.0
-2816.844450434426,10.0
-3234.0539972448278,64.0
-10816.225282454812,5.0
-12625.060229941739,3.0
-2756.765736514082,60.0
-1359.6645540776722,56.0
-1628.9007030021253,52.0
-6332.009762289664,40.0
-9751.881814556324,46.0
48.85369645740286,58.0
-10127.95061104236,57.0
-8445.012694981944,22.0
-7587.817802123413,47.0
-13974.630081638497,19.0
-2597.88370253436,21.0
-15365.274425858766,27.0
-6883.752579227993,40.0
-7761.238494949788,58.0
