earn_x0_lc2vs0_iate,olf_x0
129.89562564436713,31.0
48.20537688831598,24.0
341.69243270777525,28.0
233.07061692118992,45.0
68.21543182023063,28.0
416.78697372117813,56.0
142.8806451824321,29.0
127.93821312478269,84.0
141.72456669765262,60.0
169.8324697893163,20.0
128.99498105579553,42.0
229.62927118217883,10.0
233.67636333676853,52.0
209.51771467019768,36.0
297.73502029014776,11.0
203.61617544110157,28.0
95.87663404735247,39.0
307.6320990668363,49.0
100.28666576500618,59.0
162.72304094735082,43.0
55.05513790059808,39.0
497.3229507290706,16.0
98.64444600887543,19.0
50.578238574346585,30.0
97.98566145624883,46.0
174.77250375282733,45.0
274.66608760704173,62.0
237.66143727303054,60.0
405.92127464020746,6.0
82.13413237366444,78.0
230.36232746953448,26.0
-20.37068678832952,39.0
140.13287076701232,85.0
210.9031253177926,60.0
365.28337140939516,54.0
44.58112196273373,67.0
235.31346767160827,54.0
124.20255843350631,26.0
549.741662673833,64.0
94.03267922699354,28.0
495.12268048312853,26.0
426.1789554565928,48.0
187.25584428207986,30.0
285.8955601440962,15.0
195.38238747397372,43.0
33.6165560171637,12.0
175.5777522000214,50.0
55.11817176891938,28.0
148.524408513771,40.0
378.30458720535876,45.0
246.36470304247877,53.0
125.76434386839776,9.0
201.9129840722885,51.0
170.4439175382563,8.0
153.03634414023492,80.0
299.95401174827964,58.0
179.10599036885046,33.0
394.7255998703974,39.0
86.32273315271232,47.0
134.68497332613998,51.0
321.7790651593608,7.0
317.7914072683354,24.0
259.28955808285974,67.0
209.37933244051123,29.0
284.57091591183496,27.0
155.2732739363469,40.0
462.81571694186414,23.0
132.86738094759914,41.0
66.31970279387203,5.0
131.47333539683711,11.0
150.90682922883477,53.0
70.03846849312606,29.0
127.99874823061438,17.0
200.50608895968844,24.0
203.29371182389463,3.0
253.02164508529376,53.0
486.73265653798,38.0
187.7411437335739,22.0
76.07351979356588,62.0
58.38600035873333,55.0
359.48877022592956,27.0
110.92022905898011,47.0
280.0038749632433,6.0
204.52778758938513,22.0
161.69842918881537,42.0
184.46959972727663,57.0
264.70077076773407,25.0
366.25730029259194,26.0
240.59350508686504,60.0
152.34682086791952,43.0
101.24511403220818,44.0
115.53297793214631,50.0
324.38256510664684,26.0
122.39460858328515,39.0
139.0928710586158,50.0
87.12925155256681,41.0
81.82433795327796,45.0
114.13960212182573,61.0
283.28087211460917,51.0
298.6839311774312,59.0
25.815238404515867,37.0
187.11581009976035,17.0
178.8890066372183,38.0
379.75860352103984,15.0
130.87619579992213,44.0
112.54424037539582,41.0
131.4124075006741,35.0
128.9439955565989,26.0
231.25888742744638,17.0
324.93597533856814,56.0
114.1961188180272,27.0
244.9796136117439,53.0
180.62480780563448,13.0
22.366080265534038,48.0
131.00260540926416,28.0
78.82302628851822,40.0
150.47473151231117,3.0
230.6431540225055,36.0
7.3549346706722645,16.0
104.19026542142194,53.0
151.36156865123718,18.0
263.1933967920986,59.0
138.25679514897985,21.0
345.00064493718025,31.0
152.14339539903975,10.0
140.69376806401226,7.0
457.3851470047015,7.0
375.5917435895125,59.0
35.98283669227362,38.0
89.10483554994318,17.0
340.5207795659952,52.0
220.40346074955727,19.0
199.9387755931839,53.0
112.96180746903462,38.0
321.8898842467919,66.0
25.805516117645375,69.0
199.2344689712062,61.0
206.12332638351182,58.0
376.7522009084567,14.0
211.84227303600423,12.0
46.64909313966848,18.0
282.503730474873,84.0
172.11058622055964,32.0
269.4711431110817,58.0
378.74498954917794,42.0
261.12086586465006,23.0
130.89818995021693,62.0
96.2709483823881,55.0
211.11968811324545,24.0
115.42347241247353,1.0
198.0202275655048,11.0
98.79206833304619,73.0
92.53749335310685,79.0
72.38162744292714,50.0
197.99665561084618,50.0
286.2804669546726,21.0
274.6865052367848,60.0
138.42376292082008,58.0
64.46731764167163,49.0
97.08419314752263,49.0
509.46065599753683,30.0
268.6592966549738,46.0
315.7471981209212,2.0
164.74875119180552,38.0
333.9300018793833,44.0
116.61527213373097,35.0
375.30742898083656,56.0
207.83327919576723,60.0
117.24103991237408,48.0
83.68134700738528,40.0
219.37262912898433,49.0
330.5895656493051,58.0
132.83608062296165,73.0
320.35368903678426,57.0
106.92942097730145,25.0
211.03810208669972,31.0
73.55035530321584,24.0
134.332012953512,23.0
303.35171046692903,18.0
85.16593106329074,75.0
228.6545757962697,30.0
76.24917301715634,50.0
417.9543449543353,58.0
233.4745258738454,38.0
269.48633448946475,26.0
52.57593545743462,30.0
84.31633217706016,16.0
142.6049147737213,34.0
222.0078425032117,13.0
257.8779002476473,42.0
400.3283368318404,50.0
11.277267623986972,70.0
120.3404698840503,34.0
62.20596977697119,47.0
323.14967330214205,58.0
197.8736963270397,65.0
-8.394594209922957,33.0
307.4684037434898,44.0
178.47843999455148,44.0
239.02837800590984,64.0
257.4875577863282,36.0
148.96210401535404,31.0
173.880142470369,44.0
404.44119872780715,36.0
73.71597223767057,25.0
148.64042039381326,32.0
108.4780508292178,78.0
439.85441827630535,47.0
331.15829746430427,50.0
364.69063708243567,52.0
126.01829027566973,38.0
164.58706549833502,55.0
312.7956991829872,60.0
204.72221582811443,43.0
-41.04298837446731,71.0
126.46008726385338,44.0
245.44346431044013,59.0
205.03697814853695,39.0
