earn_x0_lc1vs0_iate,empl_x0
-0.8695016803979456,97.0
-5.773107706194752,73.0
23.559529899794,85.0
-16.48816726120691,40.0
-20.0832931969202,51.0
-16.458844366632256,35.0
-1.2745151540619233,56.0
-147.85259185306234,28.0
-41.02599306591394,65.0
28.779819449256383,79.0
6.921717863011452,95.0
15.994012212478253,75.0
-4.599273143093605,61.0
7.196317403817005,39.0
-17.339896162069067,65.0
-27.697561869680094,72.0
-27.280515256953215,41.0
0.5362616650259042,59.0
-4.183667012685476,43.0
11.713737430877188,76.0
-37.45709157288229,55.0
-9.345823621815725,34.0
-16.305013694507693,32.0
15.587138744549865,70.0
-2.5287408206786353,63.0
-0.811557643721823,42.0
-99.23796811084867,69.0
-13.87740828076619,55.0
-27.378628216662197,92.0
-35.0647704866542,94.0
-56.66280284902416,90.0
-17.093917375254563,91.0
-12.050131334468645,88.0
-29.69682877943623,94.0
-77.12642479892651,76.0
-5.615677952437181,102.0
-1.2155391726343812,76.0
-23.26199335507863,76.0
-83.4709028257256,53.0
24.810059974442197,46.0
-5.2335831904870815,99.0
-49.86986628515069,70.0
2.531799176536424,78.0
1.2606955362351626,61.0
-2.286370434641711,89.0
-50.11028996830163,77.0
-6.67454572774335,93.0
-51.42855276980242,15.0
-36.29503865410095,54.0
-8.631873895412397,40.0
-19.241427556559927,40.0
-0.4070919454629518,87.0
-22.845005329055624,80.0
-109.75377309630642,44.0
13.625178038162389,81.0
-59.229148998217056,96.0
-11.014020775674211,48.0
5.407440975849411,24.0
-52.43294722787954,50.0
-41.269139802205814,91.0
-74.05787398242535,49.0
-16.28975962744525,56.0
25.07770978205312,98.0
5.128205538217287,53.0
18.80365625991388,69.0
-11.598952509234834,65.0
-7.553074372789524,42.0
-25.891662763244398,91.0
-21.712623166822368,51.0
-2.711389809394859,54.0
7.652155955961632,45.0
11.949433123454696,36.0
54.52348153223454,39.0
-84.31950423064075,76.0
-32.64143838818554,62.0
-8.344657281425839,30.0
-69.4424077229607,111.0
-63.847153380487725,74.0
-81.05817001723369,52.0
-34.373553135572024,100.0
41.10438550103236,55.0
-26.489592567833867,89.0
7.9067299710008285,58.0
-163.50862215831,43.0
10.586567276074106,78.0
-32.84532159411728,38.0
-8.514226864319312,76.0
-17.110755928071853,70.0
-9.72805418400469,36.0
-50.71079655417657,42.0
2.5688743017383286,91.0
-7.1134515975787735,60.0
-41.28048363011811,65.0
24.486055844361672,70.0
-1.044087798058925,52.0
-0.4732908286021882,75.0
9.746965892079928,63.0
-6.30261724867654,87.0
3.8113900849479645,116.0
-12.739666569549321,80.0
-63.54234062633333,85.0
6.941722805941897,73.0
-17.021900762210578,55.0
13.195784684639904,81.0
-37.679799231249945,71.0
-62.57193136079951,100.0
-43.43753802539379,44.0
-0.4447638005254859,55.0
27.43958313401879,80.0
-26.9042180704123,90.0
-6.499163887814063,92.0
-0.4638201125401906,110.0
-8.01284719394744,103.0
12.174912589039522,87.0
-17.21242807042711,79.0
-17.130170747977388,78.0
-5.277842369025542,46.0
-15.786993859209389,45.0
18.61555574503062,79.0
51.637894434667245,63.0
-5.253541910605218,49.0
0.7234908080222441,55.0
-23.90143536522004,44.0
-94.72374384659912,79.0
-31.664504049622536,25.0
-18.85417675405941,71.0
-12.155401969407706,103.0
-16.329053538480593,91.0
-123.39874494407798,62.0
-13.041652560719442,65.0
-84.37103878368112,42.0
-6.267129635688022,69.0
-15.419380523347359,61.0
-22.28121960957222,64.0
3.1056082995783783,61.0
-12.363116880144077,33.0
-20.816464362889292,92.0
-56.93815387939708,65.0
12.371457089369756,24.0
3.8288223072084406,60.0
-27.833839165145093,36.0
-117.02648769703603,64.0
5.982069767742669,82.0
-48.9481632887281,48.0
5.455313182842101,49.0
21.048526756456624,89.0
-26.728751709232142,58.0
-30.77266653362401,54.0
-44.45389361520455,85.0
-35.04246584721409,86.0
-20.177777167577887,98.0
-8.502850545293427,64.0
-7.528429499355482,59.0
-11.36791759587063,44.0
6.871999054901913,83.0
-21.608926566641742,61.0
14.116194506175361,63.0
11.374885566146048,66.0
-83.28380584960257,73.0
-6.893520943549504,80.0
-18.93001114080846,74.0
-35.704105990197434,91.0
7.155757892935753,69.0
