upper,effects,lower,ate,ate_l,ate_u
-31498.053145865724,-40034.8560322095,-48571.65891855328,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31473.69636211523,-40014.97215615754,-48556.24795019985,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31449.329577985853,-39994.24323444945,-48539.15689091305,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31455.192012021995,-39973.51997312035,-48491.8479342187,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31438.475603562456,-39952.51265838114,-48466.54971319983,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31426.977656262505,-39931.51535783744,-48436.05305941237,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31432.934129738125,-39909.97908886207,-48387.024047986015,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31418.31653872261,-39888.48930235979,-48358.66206599697,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31394.8408830695,-39866.98314577722,-48339.12540848495,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31386.936743112412,-39845.21210346329,-48303.48746381416,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31385.335607296955,-39823.346520673294,-48261.357434049634,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31354.398985399395,-39801.50851523629,-48248.61804507318,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31339.37049109448,-39780.426554845966,-48221.48261859745,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31355.40561135109,-39759.597007152646,-48163.788402954204,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31344.535520770052,-39738.65016416083,-48132.764807551604,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31337.467682237766,-39717.71251106922,-48097.95733990068,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31324.6956161168,-39696.74390759362,-48068.79219907044,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31325.384975925277,-39675.78255091979,-48026.180125914296,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31321.78630894821,-39654.917017116284,-47988.047725284356,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31312.41708010596,-39633.95328223354,-47955.48948436112,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31299.916097532383,-39613.43986828079,-47926.96363902919,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31287.01160444892,-39593.789511447794,-47900.56741844667,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31290.47531785382,-39574.205299011395,-47857.93528016897,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31280.14427547202,-39554.5528472567,-47828.961419041385,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31262.83499826439,-39534.7278393986,-47806.62068053281,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31245.271706210886,-39514.87696103389,-47784.4822158569,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31226.70561824451,-39494.60779782846,-47762.50997741241,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31194.46225323384,-39474.429951034384,-47754.39764883493,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31183.95153603299,-39453.96121086585,-47723.970885698705,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31190.44454863161,-39433.533664009876,-47676.62277938814,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31162.9138159845,-39413.15109914971,-47663.38838231492,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31146.78101794096,-39392.57459862751,-47638.36817931406,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31134.438370090982,-39371.63890955999,-47608.839449028994,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31116.108510202845,-39351.244714335924,-47586.380918469,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31096.933916216105,-39331.89817816661,-47566.86244011711,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31092.700962340292,-39312.917937108985,-47533.13491187768,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31056.923766903397,-39293.69717199236,-47530.47057708132,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31044.94497686864,-39274.05695539687,-47503.168933925095,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31018.84305896332,-39254.73133199282,-47490.61960502232,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31019.747822704714,-39235.55058071351,-47451.353338722314,-27914.231731401036,-25946.026365519847,-29882.437097282225
