sal_avg_lc1vs0_iate,unem_x0
-5677.70938076372,2.0
-5579.93128887941,3.0
-21197.190502766305,23.0
-14020.929154737749,7.0
-12981.516844003236,21.0
-2648.987215829233,1.0
-16753.22068041909,19.0
-8524.629155095867,20.0
-5975.7220879643555,19.0
-9125.532586995549,15.0
-7619.04630300943,13.0
-2855.5861638259353,14.0
-3025.8097797928294,10.0
-2497.1665053223387,17.0
-7184.19320209138,15.0
-2807.5231955634727,22.0
-3080.2095312836827,1.0
-5494.654000863124,18.0
-1819.1616023078786,8.0
-13599.512198976117,19.0
-4661.803029523229,20.0
-4762.071432685163,13.0
-5145.830343580285,6.0
-21717.092405464806,17.0
-3919.96400501072,8.0
-4024.1951723153097,14.0
-2932.832439347376,20.0
-4971.014798354618,7.0
-2767.8809390932092,6.0
-5493.866697337421,18.0
-3395.332213811673,7.0
-2909.1529854074092,14.0
-9920.038541856888,17.0
-4852.3562446135065,15.0
-5584.9269500414875,21.0
-7964.870549707955,23.0
1188.2644897576397,6.0
-10620.148151167941,20.0
-1895.3452563455157,0.0
-797.06589753085,14.0
-2664.530717755541,17.0
-14399.804235434925,21.0
-2840.982919313622,15.0
-294.8238616650581,14.0
-3326.1624383451854,0.0
-17341.001304706522,19.0
-13342.80482657838,12.0
-6679.770675387863,3.0
-10378.034609233022,23.0
-7586.03226646916,16.0
-2138.384379267468,0.0
-2962.947797366005,15.0
-9445.061591712047,21.0
-4628.850483957178,24.0
-2371.9455295516855,20.0
-2504.6642034591005,1.0
-7650.088853001282,24.0
-10049.36453443841,21.0
-16409.512754677424,16.0
-2227.154469453475,22.0
-7726.152897312457,23.0
-14604.015872915012,19.0
-6757.192295640221,22.0
-7165.033228111048,23.0
-996.4244833159028,15.0
-13969.073750347063,22.0
-11130.593381398494,0.0
-11059.005339752528,8.0
-20418.00601613143,13.0
-4505.262376376648,20.0
-2650.541807093163,21.0
-4300.282986492606,17.0
-4476.765153839633,15.0
-5152.243767786587,16.0
-2561.1345126462747,7.0
-7682.127741808819,5.0
-1111.2948748196632,17.0
-4978.012447428833,10.0
-2407.823753415889,12.0
-12672.240773153248,5.0
-6232.158946257012,0.0
-18260.90858014894,19.0
-12529.227917837858,6.0
-14267.555802736057,20.0
-3386.438737468137,3.0
-2321.1134628481973,23.0
-6625.325877134189,9.0
-6255.207636035608,11.0
-2312.351440555054,12.0
-4528.121104003871,23.0
-2136.0244960092914,20.0
-3797.0493195759154,18.0
-2549.2444773433417,23.0
-1035.8719310758015,6.0
-16020.440062487536,6.0
-7332.0449117115495,15.0
-12498.667019472756,14.0
-7674.683263877323,22.0
-5373.937467221864,20.0
-686.1375662136179,11.0
-2780.8541563879207,24.0
-7917.312018926487,17.0
-15153.016100497083,16.0
-2322.729195925518,16.0
-13659.446268026306,9.0
-6929.0112001090565,1.0
-4178.24318679288,22.0
-6760.580360149945,23.0
129.02587047169982,5.0
-3188.345695458882,23.0
-9516.46720148789,19.0
-12148.931194371156,18.0
-17467.40414672208,18.0
-99.55215731127976,10.0
-9954.110087712748,4.0
-12340.99183954476,21.0
-22115.340534184288,9.0
-13646.644695816773,13.0
-19331.30150918461,10.0
-5221.632317001349,19.0
-9035.514445965619,23.0
-5633.825468059045,9.0
-3150.3597379570056,9.0
61.603499859006206,5.0
-809.3600076635778,16.0
-5088.28188985917,15.0
-9845.0089091722,2.0
-2325.176446851033,19.0
-1401.3863216818309,15.0
-5462.314517675972,5.0
-9208.440692572245,23.0
-12060.361812287852,17.0
-1877.1333062559243,6.0
-7939.82181647421,14.0
-4289.047389677111,5.0
-4329.475988185807,24.0
-6057.285302540812,23.0
-12858.643002236695,15.0
-3233.468108602967,17.0
-15721.164024572412,14.0
-4019.193578120885,7.0
-4551.624874001087,12.0
-12667.71094009893,2.0
-7407.42116595402,18.0
-791.8595690477728,7.0
-516.7286420895089,19.0
-4374.179819366853,11.0
-9612.92341891613,2.0
-3124.1194900100454,13.0
-4393.087762808689,4.0
-9281.123888493765,18.0
-13369.916645841364,8.0
-332.62472876400125,5.0
-4420.848347727804,20.0
843.476423104798,22.0
-4501.652017824425,17.0
-14574.756331154887,3.0
-5898.811925904287,20.0
-10915.629957207562,4.0
-3393.5474613805563,15.0
-1790.2938023615307,8.0
-6779.62190486842,18.0
-11186.295105876994,2.0
-2072.3387249033312,5.0
-4728.134292884336,14.0
-2464.544454967062,24.0
-4890.754711351303,9.0
-1975.443689161384,20.0
-14353.168442913957,23.0
-5248.791732272066,11.0
-3258.6598438061505,4.0
-14484.53520635545,17.0
-13719.42061313944,15.0
418.7795160312017,24.0
-5820.403460492718,11.0
