grid,density
-33239.10923305333,3.891819284135501e-05
-33203.74129605542,3.8956140710184e-05
-33168.37335905752,3.89941252587547e-05
-33133.00542205962,3.903573980088961e-05
-33097.637485061714,3.908251742873257e-05
-33062.269548063814,3.9132376853693146e-05
-33026.90161106591,3.918488484771071e-05
-32991.53367406801,3.923536048516978e-05
-32956.1657370701,3.928202150607167e-05
-32920.7978000722,3.933581876840375e-05
-32885.4298630743,3.93890185456831e-05
-32850.06192607639,3.943975645216401e-05
-32814.69398907849,3.948469609777363e-05
-32779.32605208059,3.952037342657877e-05
-32743.958115082685,3.9552576539823576e-05
-32708.590178084785,3.9586756548765126e-05
-32673.222241086878,3.962659545835426e-05
-32637.854304088978,3.966738904052678e-05
-32602.486367091074,3.9706038101391266e-05
-32567.11843009317,3.9752808490131995e-05
-32531.75049309527,3.980098462892723e-05
-32496.382556097364,3.9848795435046994e-05
-32461.014619099464,3.989516096896831e-05
-32425.64668210156,3.9933559430179026e-05
-32390.278745103657,3.99683066503296e-05
-32354.910808105757,4.000412134871934e-05
-32319.54287110785,4.003912813974263e-05
-32284.17493410995,4.0075677952754426e-05
-32248.806997112046,4.011390396488825e-05
-32213.439060114142,4.015398681888481e-05
-32178.071123116242,4.0195417321186096e-05
-32142.703186118335,4.024167715571599e-05
-32107.335249120435,4.028984454160814e-05
-32071.96731212253,4.0335482428618605e-05
-32036.599375124628,4.0382140966536676e-05
-32001.231438126728,4.0427260529477675e-05
-31965.86350112882,4.047519612545428e-05
-31930.49556413092,4.052740504023081e-05
-31895.127627133017,4.0574562634413846e-05
-31859.759690135113,4.061838217230651e-05
-31824.391753137214,4.0658022536318165e-05
-31789.023816139306,4.069422734662334e-05
-31753.655879141406,4.073233635116966e-05
-31718.287942143503,4.077315375763398e-05
-31682.9200051456,4.081236468649055e-05
-31647.5520681477,4.085190915819655e-05
-31612.184131149792,4.0898385257566145e-05
-31576.816194151892,4.094405962380567e-05
-31541.44825715399,4.0988382641702755e-05
-31506.080320156085,4.103416187295734e-05
-31470.712383158185,4.107878839506351e-05
-31435.344446160278,4.1122944082361004e-05
-31399.976509162378,4.116795439520483e-05
-31364.608572164474,4.120994089340977e-05
-31329.24063516657,4.125166293578235e-05
-31293.87269816867,4.129555632079209e-05
-31258.504761170763,4.133586369114533e-05
-31223.136824172863,4.1379843855657326e-05
-31187.76888717496,4.142732171881123e-05
-31152.400950177056,4.14739731751759e-05
-31117.033013179156,4.152493470815377e-05
-31081.665076181253,4.15778514235517e-05
-31046.29713918335,4.162833815562163e-05
-31010.929202185445,4.167476216326637e-05
-30975.56126518754,4.172012659980919e-05
-30940.19332818964,4.17610619271831e-05
-30904.825391191738,4.179723319885989e-05
-30869.457454193835,4.18345654750097e-05
-30834.08951719593,4.187217594030435e-05
-30798.721580198027,4.190151044192789e-05
-30763.353643200127,4.192652651958619e-05
-30727.985706202224,4.195037173128546e-05
-30692.61776920432,4.196888049365959e-05
-30657.249832206417,4.198626371425189e-05
-30621.881895208513,4.200586799586063e-05
-30586.513958210613,4.202793721337974e-05
-30551.14602121271,4.2045074389211745e-05
-30515.778084214806,4.206091785830477e-05
-30480.410147216902,4.207781763685945e-05
-30445.042210219,4.2095595908748e-05
-30409.6742732211,4.2111245115702824e-05
-30374.306336223195,4.211993818022829e-05
-30338.93839922529,4.2124949508708264e-05
-30303.570462227388,4.2125955161669844e-05
-30268.202525229484,4.2124184819587245e-05
-30232.834588231584,4.21184655181776e-05
-30197.46665123368,4.210575960889087e-05
-30162.098714235777,4.20937276177319e-05
-30126.730777237874,4.208101952012531e-05
-30091.362840239974,4.206459081273889e-05
-30055.99490324207,4.2044328097165755e-05
-30020.626966244166,4.202790340980674e-05
-29985.259029246263,4.2009089289911955e-05
-29949.89109224836,4.198475011831357e-05
-29914.52315525046,4.195619589989917e-05
