sal_4_lc1vs0_iate,emplx2_2
-42346.80764931826,2.0
-36525.02962273515,2.0
-39711.53673832417,2.0
-40902.011845372705,2.0
-24463.11294398241,2.0
-22795.094523215826,2.0
-29474.590382009912,1.0
-46605.193635506876,2.0
-27902.653140790942,2.0
-37934.05470791469,1.0
-28784.449452564753,2.0
-21911.775665648893,1.0
-28329.96296277423,2.0
-39344.82879373412,2.0
-23745.22240499276,2.0
-21657.300540561264,2.0
-30804.820705720926,2.0
-38126.276444049894,2.0
-39965.943902988336,2.0
-48043.23311771627,2.0
-20769.945223571056,2.0
-35955.11218492224,2.0
-20999.269232136932,2.0
-43644.44064051098,2.0
-29902.566454377928,2.0
-39664.455005387776,2.0
-36296.26292663389,1.0
-44899.74327594796,2.0
-17736.17113495728,2.0
-27302.155159091253,2.0
-21557.79057050258,1.0
-45804.60548155397,1.0
-18710.606833931037,2.0
-23750.10884498017,2.0
-48994.49593139242,1.0
-20090.11731715608,2.0
-28313.13580071384,2.0
-30333.88988667966,2.0
-33447.28632039226,2.0
-23232.150737468866,2.0
-24301.781169739268,2.0
-43837.8465473248,2.0
-36334.953462382444,2.0
-20263.320743539047,2.0
-40750.95578135038,2.0
-27762.297664290476,2.0
-40863.97826170769,2.0
-28980.007882729016,2.0
-43228.786796312255,2.0
-38659.030588224225,1.0
-29201.527237314665,2.0
-37008.97955600907,1.0
-23593.9860465912,1.0
-42141.60810308169,1.0
-40595.40093094818,2.0
-29988.7571925097,2.0
-24385.879700643003,2.0
-23140.940000940205,2.0
-34992.250931340604,2.0
-23177.351409485644,2.0
-39142.84024298572,2.0
-21469.355887281192,2.0
-27163.53102635854,2.0
-28083.841983116108,2.0
-21089.527049553064,2.0
-19944.664269063836,2.0
-47067.52932416965,2.0
-29038.584909784156,3.0
-21398.63071506244,1.0
-41841.151484037786,2.0
-46254.31186633343,2.0
-43345.55398803193,2.0
-38928.31644487512,1.0
-34316.65969854868,2.0
-26483.68076618026,2.0
-29360.09497281368,1.0
-42691.63042123959,2.0
-23845.454520105748,1.0
-23835.247616246896,2.0
-37515.86272429697,2.0
-19998.338423806774,2.0
-24550.596687369063,2.0
-44756.27071563051,2.0
-23708.680956887612,2.0
-19822.098259624872,2.0
-23132.502355120854,2.0
-29637.959473515264,2.0
-23709.043235450485,2.0
-23970.952313882663,2.0
-28567.977578411537,2.0
-20073.29805695817,2.0
-33739.32066241169,2.0
-28190.43222497738,2.0
-41492.90325050259,2.0
-32571.75864412315,1.0
-38932.85943932321,2.0
-37227.65907986678,2.0
-40538.05308091624,1.0
-37827.61777742483,2.0
-41062.685041538345,1.0
-37451.853752968935,2.0
-19850.080409756985,2.0
-35935.7673079316,2.0
