sal_5_lc1vs0_iate,nation
-14337.578107879539,5.0
-4276.34538805985,2.0
212.56043389048136,1.0
-1623.8775705569242,2.0
-3331.1761138971387,4.0
-2829.5621336131153,1.0
-2182.5510866655213,2.0
-8675.517398629147,1.0
-4774.478016998197,5.0
-3562.569481703719,1.0
-19406.355281302567,2.0
-3170.8883755721217,1.0
-3013.5270472589727,1.0
-4191.494046471984,1.0
-10039.088807012196,1.0
-3609.126307775974,1.0
-6658.612853795283,2.0
-6184.394471042635,1.0
-5525.849117995233,2.0
-5286.661901685644,1.0
-17545.762810910324,1.0
-13037.618623982598,1.0
-3860.45020291101,4.0
-1947.771076407552,2.0
-3821.880679850432,1.0
-4033.8220532966534,2.0
-2928.2955697845646,1.0
-12433.266373517212,4.0
-9397.956995372513,1.0
1329.6526040464487,2.0
-18583.520116861873,1.0
-22620.258568495963,1.0
-13504.772645492656,1.0
-5136.672927308757,1.0
-2448.6651647528406,2.0
-10814.551198376625,1.0
-11563.849677336304,2.0
-13060.945562237674,2.0
-5721.599430379803,1.0
-9386.784345622329,3.0
-17544.2005463225,2.0
-13247.415904353094,1.0
-13797.581222011999,1.0
-2208.624036490456,1.0
-3637.4443056841264,1.0
-553.1229805140647,1.0
-4513.792475264113,1.0
-5909.555913120657,1.0
-18696.089564395756,1.0
-18933.84399452168,1.0
-17004.297532821714,1.0
-7725.481241581535,1.0
-5157.1223096719405,1.0
-3165.7723002106904,1.0
-15800.697604667559,1.0
-3369.972266978858,3.0
-11663.431137685626,1.0
-11775.614176206078,1.0
-3254.152632338097,1.0
-7032.372958798274,1.0
-10656.604333649415,1.0
-1820.2669118055019,1.0
-10854.739285308107,3.0
-4579.116258158923,1.0
-6975.100467752485,1.0
-3764.421246499882,4.0
-18196.281326892415,3.0
-24085.266647522694,1.0
-9975.969356578194,2.0
-13946.125253157246,1.0
-3594.530608665965,1.0
-3412.4354031792573,1.0
-1920.5432281545036,1.0
-22661.612337133127,4.0
-16103.645303283321,1.0
-15938.772514512933,1.0
-4347.232016803643,1.0
-3733.8704632101817,2.0
-8859.263512754405,1.0
-12141.727040193193,1.0
-6300.306818573049,1.0
-2648.4932821230104,1.0
-10679.973996979466,1.0
-9239.723322677459,1.0
-16791.357730979704,1.0
-22823.861873290818,1.0
-13186.479538793645,1.0
-8802.229874882707,2.0
-7658.6706361595025,1.0
-6595.5314316540735,3.0
-17268.572144515747,1.0
-12081.537860521006,1.0
-5973.706924229024,1.0
-7849.55006405689,1.0
-1968.1350334331962,1.0
-13469.940209967612,1.0
-15456.655201304387,1.0
-7967.22486259262,1.0
-2962.009252732325,4.0
-6754.990227882034,1.0
-1791.4732319485468,1.0
-3412.801235562026,1.0
-4828.371992756995,1.0
-18923.457471971156,3.0
-2197.7704705457654,4.0
-6953.750272397329,3.0
-5349.394503927038,5.0
-5605.345846495331,1.0
-14435.722398005155,1.0
-5733.062566572706,1.0
-4474.810546303837,2.0
-10334.7029248391,1.0
-1510.8712845631435,1.0
-12790.326730939016,1.0
-3272.3476189074536,1.0
-10607.71086010069,1.0
-11014.8086659039,1.0
1062.6312146634991,5.0
-3386.6560517702337,1.0
-3887.464394638002,1.0
-11605.91361436924,4.0
-11230.32166823849,1.0
-15231.047896294147,1.0
-4294.286561960114,1.0
-22841.282784536746,1.0
-8799.704315900697,1.0
-6589.270323783971,1.0
-2220.152297711189,2.0
-4012.978556841219,3.0
-12037.34832430241,1.0
-541.9320676220559,1.0
-9823.853409140462,1.0
-3742.9718560174806,1.0
-10244.74608242853,1.0
-2946.6048172752203,5.0
-4300.599248881782,2.0
-18862.66045071057,4.0
-20111.281595349363,1.0
-7659.742914488839,1.0
-11633.531354487872,1.0
-1236.008204116235,1.0
-10723.8593041059,1.0
-2639.021388416646,2.0
-1753.7876622637984,1.0
-769.3973450076228,3.0
-14168.407562569104,1.0
-985.1938808970408,1.0
-13521.259631678959,1.0
-12590.69995795591,1.0
-10968.64253664299,2.0
-2881.9637231741726,1.0
-5759.309163532276,1.0
-12396.87428513591,1.0
-13617.682771088192,4.0
-3995.3758304947,1.0
-8409.140694446804,1.0
-6755.284739920193,1.0
-12019.315630687384,1.0
-2483.8955007021395,1.0
-3269.401038833359,1.0
-4248.954550977804,1.0
-5760.401399118893,1.0
-2345.7831647803832,1.0
-18513.012611369635,1.0
-1492.2477393337176,1.0
-4493.513663355192,1.0
-294.9395789762166,1.0
-17380.24638170394,1.0
-18135.18217787866,5.0
-14811.489816042671,1.0
-13819.379522328945,5.0
-5535.281206343437,1.0
-4201.7531613524625,1.0
-1891.9331828479876,1.0
-5277.758620414657,1.0
-5412.2997461962,4.0
-15386.483520029155,2.0
-1755.0612371989628,1.0
-3592.979483315279,4.0
-3583.9483099002537,1.0
-7243.331070170041,1.0
-2452.159576095989,1.0
-3843.933330587494,2.0
-7348.660407796837,1.0
-5398.645484275549,1.0
-2525.525129067788,4.0
-2247.8010778164453,2.0
-12895.082777509298,1.0
-4045.677161796451,1.0
-13597.610148194472,1.0
-5402.205099918809,1.0
-2241.4549836080987,3.0
-9495.721971191884,1.0
-6606.624004204765,1.0
-4433.764933357348,3.0
-1650.3228782154492,1.0
-3246.080655817799,2.0
-9967.714714783544,1.0
-2776.2948451802463,1.0
-3184.4264581222815,1.0
-16748.47421121707,4.0
-3195.5276491340464,4.0
-2652.994463093073,1.0
-2351.0979469668746,2.0
-2293.9969974315904,1.0
-3776.6209578819853,1.0
-7538.546664218295,1.0
-6192.440476614371,5.0
-3545.857790946491,1.0
-4738.635827723545,4.0
-10186.836961570367,1.0
-5324.374228150758,1.0
-1481.0347005355507,1.0
-4005.82410241692,2.0
-5715.004280258077,2.0
-3859.2860321283833,1.0
-1993.20825922093,1.0
-2430.8657919129328,1.0
-12389.177294597777,1.0
-19719.642243777926,1.0
-12766.935049123336,1.0
-13581.434260638423,2.0
-11010.575519586951,1.0
