sal_3_lc2vs0_iate,empl_x0
-34709.54928826597,58.0
-35884.987105877764,94.0
-26735.865939579788,54.0
-24886.710609124417,91.0
-18668.113175318424,88.0
-23983.027742650767,92.0
-21006.021851585025,99.0
-28527.691794503196,94.0
-17750.974706114368,44.0
-32889.13544476214,76.0
-27421.19212560836,97.0
-16997.47914335693,60.0
-31700.644281817997,90.0
-28675.43882016385,56.0
-20399.81135076302,68.0
-21433.241301852126,50.0
-16826.689372088324,40.0
-23349.620575635505,39.0
-19053.810505456113,41.0
-31217.788302612083,104.0
-31419.3032698472,107.0
-28155.851138984108,83.0
-24837.09915760895,31.0
-18118.063914796563,70.0
-24271.588515953215,52.0
-33410.66095054112,56.0
-28894.201839534475,89.0
-23939.88052612525,48.0
-34588.8091946519,55.0
-26151.565824168305,86.0
-38905.26098900591,118.0
-25957.58326125967,103.0
-18224.88855747487,45.0
-24001.63916857048,30.0
-25269.94383125838,68.0
-32523.289156860028,53.0
-17632.911888258008,94.0
-18609.87213384494,55.0
-27082.044173603925,56.0
-25399.14813495119,67.0
-31307.70822511907,57.0
-19155.934649616396,85.0
-23669.736183751695,54.0
-27900.621127439572,100.0
-24414.833268416252,73.0
-34379.15568258709,54.0
-26973.79409939981,70.0
-25003.89689095578,46.0
-23458.701833115127,53.0
-29809.53223456288,68.0
-29155.054639764985,76.0
-31971.708558644816,54.0
-18202.21043685688,58.0
-33975.88413682225,46.0
-21687.228072736056,42.0
-34195.89005924553,93.0
-30175.199403826286,87.0
-39182.26167133251,80.0
-27746.391895574536,89.0
-24574.89820069926,97.0
-22569.519516926513,42.0
-17080.46480176296,74.0
-20904.92230660756,54.0
-17096.58107027377,59.0
-19377.665541084498,72.0
-21503.051180472103,90.0
-23554.80530691684,90.0
-32293.48589402296,88.0
-24184.83731259716,71.0
-18462.258887142427,98.0
-29513.29419831714,69.0
-18548.83049122647,60.0
-34619.46225774937,43.0
-28402.68944984892,65.0
-23092.148908824773,44.0
-17776.84150529053,70.0
-25619.77347191784,53.0
-17648.445796054326,40.0
-37509.58131397917,81.0
-19586.519991439003,54.0
-32069.996009556955,69.0
-17443.201615350757,42.0
-30635.519336482954,82.0
-22801.87516739595,73.0
-22856.70042691033,53.0
-28096.423502783626,69.0
-31202.955702235602,80.0
-32344.90032745798,66.0
-34223.874399524866,24.0
-23823.928783225572,52.0
-34081.36783577045,68.0
-19156.006325953,66.0
-24306.7261100507,76.0
-22023.145829195153,62.0
-33312.33275978622,53.0
-23758.69419906235,55.0
-35778.23385859783,41.0
-32525.409397411124,62.0
-21167.538291902874,50.0
-31289.427913493135,78.0
-30899.248319121485,53.0
-28078.273921092376,51.0
-23364.910428319363,84.0
-21779.43084326812,72.0
-20952.240188486125,74.0
-19868.038498477246,67.0
-31332.09905877841,82.0
-17173.672144126078,89.0
-32050.872637169537,94.0
-32586.96539472226,42.0
-17189.27049632633,89.0
-33497.35655532183,107.0
-29953.582019252906,62.0
-17099.555035864483,41.0
-26076.865747304473,57.0
-32602.241926932296,79.0
-20108.44723008218,95.0
-29117.397192544544,44.0
-31371.83580456816,40.0
-24744.389682831847,67.0
-22049.042630646905,52.0
-17162.276165139756,50.0
-18089.020121199523,83.0
-23443.236942597672,48.0
-34456.219307044084,53.0
-35999.57588347563,108.0
-19002.22425103394,76.0
-37205.11878782793,66.0
-27532.38602189331,55.0
-35808.76354841757,68.0
-25964.45894177959,72.0
-19817.57314032056,82.0
-16982.349362743287,49.0
-24565.71537230174,101.0
-23943.732043234573,86.0
-24115.059612363722,104.0
-28788.816788209282,63.0
-19546.063127652218,57.0
-36848.88781550061,59.0
-22772.63738969151,80.0
-37879.6648255126,100.0
-17354.740618976793,36.0
-33619.61077623952,81.0
-31869.820344982807,65.0
-22967.017856067738,81.0
-22824.806715543255,99.0
-34534.213815695955,101.0
-27715.249072412378,96.0
-24348.927465221677,88.0
-22231.626969785142,47.0
-30316.241883634444,52.0
-22721.190878003414,33.0
-35995.217743598616,85.0
-17255.396303970694,54.0
-33426.77462301093,82.0
-19457.802759642243,91.0
-21609.821407148076,91.0
-26590.316437940503,71.0
-18768.688448020497,45.0
-37349.85708507937,90.0
-24411.673560865456,81.0
-34965.562134762855,56.0
-29821.53247212224,87.0
-26246.59467129832,60.0
-21943.81417403247,82.0
-36189.051503583585,92.0
-33728.19581944037,84.0
-33061.97565420221,86.0
-17523.18072224964,64.0
-34040.66642688297,89.0
-33847.96178557559,36.0
-37250.19595595737,66.0
-34636.297413445594,97.0
-19106.821734897545,78.0
-19720.0042323152,101.0
-24023.310226123616,52.0
-27258.866064778515,57.0
-21261.541517398622,80.0
-24407.78562559196,101.0
-17043.267323540593,48.0
-23533.567429402297,56.0
-24969.47986074912,115.0
-34777.28899472863,62.0
-36672.59200903009,58.0
-33981.13771288451,69.0
-20760.000403141363,95.0
-19747.013230671746,53.0
-31350.189424955763,68.0
-27480.584478226905,77.0
-25161.569382340695,61.0
-40195.68917542165,80.0
-36912.20677233588,68.0
-19445.31832703194,47.0
-20581.561349000083,75.0
-34145.537257551834,74.0
-23477.333088036437,53.0
-23514.942519332235,51.0
-29999.44407342204,75.0
-18109.563951222495,46.0
