empl_ttl_lc1vs0_iate,age
-1.1420904160648524,39.0
2.973209737954413,49.0
2.135047560622418,45.0
1.1786373401164731,43.0
-1.10735622748475,32.0
3.2918090595241587,50.0
1.6140465136442295,43.0
3.2013424734334213,44.0
1.7082386663065332,34.0
1.8077993481528531,47.0
-1.6178713662622388,47.0
1.0174181384386038,40.0
2.3715029265563135,31.0
-1.494817858085944,43.0
-0.962799319867552,43.0
2.7618602235361798,42.0
1.5647708824599436,46.0
1.7385183350250846,34.0
1.3019500627944702,40.0
2.152865116395654,31.0
0.31532060667672734,42.0
2.371641994864995,41.0
0.9621939488082303,30.0
-2.733941143780463,48.0
2.0510491162019413,33.0
-0.51713401776231,40.0
-2.2600191285735596,50.0
2.698279001259257,31.0
2.0536814412737767,40.0
-2.1371424748981123,44.0
-1.8659774089213008,44.0
-2.4137682131799867,35.0
0.2751206958304415,33.0
-0.08125790867944649,32.0
-1.1665319196455795,35.0
3.768223477058723,50.0
2.2008685991697816,41.0
-1.0034960570638698,42.0
0.0316352746943509,45.0
-3.238568206064831,49.0
0.04144090091967856,35.0
1.4301816943502081,48.0
1.3793223621589856,50.0
1.1117121059177686,40.0
-2.231139261942988,44.0
2.2735278602728286,45.0
0.32932532119040014,39.0
1.3140194433507695,35.0
1.9435792823484785,43.0
2.6901508085430397,45.0
3.197925038990015,46.0
1.3227673300115654,49.0
-0.23222857608992786,37.0
0.6771267033729871,35.0
-0.4533805390685408,34.0
-3.8121814147901736,36.0
2.294094450801774,41.0
1.0517005080876742,41.0
1.0832834718622335,31.0
-1.4032527391889493,45.0
2.448979454509247,43.0
0.2622781563397969,31.0
3.1020599588637223,42.0
2.0406873524785833,47.0
-2.5899955898232885,32.0
3.235160548171889,40.0
2.818222324084978,41.0
1.2708210004753457,36.0
0.6795156091722891,46.0
0.0929308169684897,41.0
-1.6706783361824717,50.0
1.0976631937740837,45.0
1.337375841612676,30.0
-2.072193209754615,39.0
0.9529926842014156,49.0
1.6479014759168966,45.0
-1.124196181427438,50.0
1.2837522498423333,43.0
1.8493675670078555,42.0
1.2283058192842462,39.0
2.576851783915068,43.0
2.7705788673278007,44.0
-0.6198055257062622,46.0
-0.18023794922816538,48.0
-0.2813275975448106,33.0
1.4715989924888457,42.0
1.4466797367865363,50.0
-5.1965158881296585,38.0
-0.3468753614204898,34.0
2.4848451275844217,49.0
-4.600925933303953,36.0
-2.3952559808763225,35.0
2.5858354471929212,48.0
-4.126727482204873,35.0
2.9329696652511448,45.0
2.358102105566612,31.0
-2.649667880438223,30.0
0.758049912208199,33.0
2.758785490368723,44.0
1.1491645799657286,48.0
1.5391139628789035,35.0
1.6725181878749358,30.0
1.7819981852628417,42.0
0.6193469380614165,36.0
3.0898348397448085,39.0
3.153844808233037,47.0
2.055960722735797,43.0
2.3384569744780355,49.0
-3.698653037045267,31.0
-3.729772874252526,34.0
0.12315802695032962,46.0
2.658805545066783,47.0
-1.6852550976351686,42.0
1.0106537173300605,39.0
-0.606705257837679,50.0
0.3633358109562783,36.0
1.3438827141833716,42.0
2.0656621829832655,44.0
1.0847561096159084,42.0
0.8299945570505645,46.0
0.23618497075882816,34.0
3.01696107107662,48.0
2.2839509362189028,46.0
0.08756583727971678,37.0
1.2637148341935305,49.0
3.0043104372091163,38.0
2.77063558882171,40.0
0.8098796846339367,30.0
0.7759923895709773,35.0
0.9768962048042891,47.0
-3.386441024973466,33.0
2.5278939909627485,35.0
-1.7588827090533943,41.0
2.815602106505991,42.0
2.3934519175162716,37.0
-2.247425539680876,33.0
-1.5066784458156128,33.0
-2.6596828710176044,48.0
1.9236278159922537,49.0
2.476285243864105,50.0
4.084005594504779,39.0
-0.9225456761488493,41.0
2.1593607077823522,45.0
1.9756186194690843,42.0
1.2257504575154616,32.0
0.4631860153084153,32.0
1.4062542108889664,42.0
0.45271118446991165,39.0
1.9611740710591343,50.0
2.43968380582483,42.0
2.8921706996695256,47.0
3.120725037934377,49.0
0.7845139003456802,35.0
2.760555997090687,30.0
-2.8356357995553925,38.0
2.139678293403604,48.0
-4.257718819817299,33.0
-4.70438430989627,40.0
-0.5178155708310739,38.0
-1.2364517293093846,49.0
2.0465204939797,30.0
3.016044979371629,47.0
2.5580161240306003,34.0
1.730720129794554,46.0
2.1949194944090973,43.0
-0.5881342777191412,50.0
1.6023377223973845,43.0
-1.6769845331602444,49.0
-2.3154287165865086,45.0
0.2706980121065743,33.0
2.3900098410580854,43.0
2.2233382028492326,31.0
-0.8928036149661189,40.0
0.4033732878812435,50.0
-1.1448195128656682,31.0
2.035861698854677,46.0
1.8832575722776146,37.0
2.516473579408323,50.0
2.4834587779903683,42.0
-1.7041806115215747,45.0
2.839250864172885,50.0
1.0678454469294394,50.0
1.8222802464302652,50.0
-2.2606157446839186,37.0
-0.6133737791245646,49.0
2.6618224464060947,47.0
1.423481087892391,46.0
-0.5656001820611458,32.0
1.6732896618331417,45.0
1.94212569283985,38.0
2.415441184147762,40.0
2.742887141215017,39.0
3.125806711279133,31.0
2.701969002077454,45.0
0.8222321551045098,38.0
0.9955786622207903,39.0
