sal_avg_lc1vs0_iate,lmp_cw
-7332.044911711549,3.0
-12498.66701947276,2.0
-7674.683263877325,3.0
-5373.937467221858,2.0
-686.137566213617,4.0
-2780.854156387919,4.0
-7917.312018926485,1.0
-15153.016100497083,2.0
-2322.729195925518,4.0
-13659.446268026306,1.0
-6929.011200109049,4.0
-4178.243186792879,2.0
-6760.580360149944,2.0
129.02587047169982,4.0
-3188.345695458882,3.0
-9516.467201487894,1.0
-12148.93119437116,4.0
-17467.40414672208,4.0
-99.55215731127907,4.0
-9954.11008771275,1.0
-12340.991839544762,3.0
-22115.340534184284,1.0
-13646.64469581677,3.0
-19331.30150918461,3.0
-5221.6323170013475,3.0
-9035.514445965619,4.0
-5633.825468059045,3.0
-3150.3597379570047,3.0
61.60349985900643,4.0
-809.360007663577,1.0
-5088.28188985917,4.0
-9845.008909172204,3.0
-2325.176446851033,2.0
-1401.3863216818309,4.0
-5462.31451767597,3.0
-9208.440692572243,1.0
-12060.361812287852,3.0
-1877.1333062559243,4.0
-7939.82181647421,1.0
-4289.047389677109,4.0
-4329.475988185806,1.0
-6057.285302540812,2.0
-12858.643002236695,3.0
-3233.4681086029664,2.0
-15721.164024572412,3.0
-4019.193578120885,4.0
-4551.624874001083,4.0
-12667.710940098936,4.0
-7407.421165954018,2.0
-791.8595690477723,4.0
-516.7286420895098,4.0
-4374.179819366851,4.0
-9612.92341891613,4.0
-3124.1194900100418,4.0
-4393.087762808688,3.0
-9281.123888493767,1.0
-13369.916645841364,3.0
-332.6247287640005,3.0
-4420.848347727797,2.0
843.4764231047989,3.0
-4501.652017824427,1.0
-14574.756331154886,1.0
-5898.811925904288,1.0
-10915.629957207562,3.0
-3393.5474613805545,3.0
-1790.2938023615307,3.0
-6779.621904868418,3.0
-11186.295105876994,1.0
-2072.3387249033276,4.0
-4728.134292884336,4.0
-2464.5444549670647,4.0
-4890.754711351303,3.0
-1975.4436891613839,4.0
-14353.168442913953,2.0
-5248.791732272068,4.0
-3258.6598438061505,1.0
-14484.535206355444,3.0
-13719.420613139439,4.0
418.7795160312029,3.0
-5820.403460492718,3.0
-3923.809481553684,3.0
-6012.458123978594,2.0
-1908.3100156375783,3.0
-9083.872791494341,3.0
-998.0694382643387,3.0
-6671.742299915237,1.0
-12379.881014613526,4.0
-4216.219277321648,1.0
-6693.013615916123,2.0
-11071.2085680109,3.0
-2478.543754149247,1.0
-488.41337405113256,4.0
-13691.72052806198,1.0
-14128.533776318436,4.0
-15912.337258743928,2.0
-6756.458907506438,1.0
-8183.0094009155855,1.0
-9451.040630731291,1.0
93.47101372796942,4.0
-915.5316926913894,1.0
-13203.22852541862,3.0
-8542.443471992332,1.0
-11755.0004357309,4.0
-10728.017803723189,3.0
-4820.271094648851,4.0
-5014.965581160817,4.0
-5736.636853917386,3.0
-12197.972383109241,2.0
-4411.591303861553,4.0
-8965.257763357766,3.0
-4581.8077661122525,2.0
-5883.638922952283,4.0
-1220.4746276351075,3.0
785.5890665439154,4.0
-4930.239459270649,4.0
-7355.310471452321,3.0
-6842.912065521707,2.0
-8311.348487358668,2.0
-15470.406179081358,3.0
-1384.8947845838256,4.0
-5625.061268035522,3.0
-5395.67485102924,1.0
-15147.025265905453,3.0
-2822.5401888264714,3.0
-6903.310919547792,1.0
-423.39900864083916,3.0
-3055.200210756786,1.0
-13555.96118554968,2.0
-3565.720696760327,4.0
-2868.266246380026,2.0
-4596.493203592747,3.0
-6738.540313802257,4.0
-6028.078368799315,2.0
-14046.276332787982,3.0
-5652.72043934389,4.0
-6392.651848260659,1.0
-11651.224493031139,3.0
-5094.066725552313,4.0
-3774.5193787867847,4.0
-11254.285114087921,4.0
-4794.233587543227,4.0
-2693.174591155995,3.0
-5392.059907346632,2.0
-986.6002414598254,3.0
-281.5467512306059,2.0
-9157.941354466157,3.0
-13578.040745633969,3.0
-7487.506792336426,1.0
-3109.370698012696,4.0
-3913.2121345586183,4.0
-14162.201534433103,1.0
-12089.657537156761,2.0
-4952.782302663369,4.0
-21019.058765765585,1.0
-14377.802785873375,1.0
-1768.7706594950723,4.0
-13032.786842559999,2.0
-1578.4339274905033,4.0
-2951.37007013805,1.0
-15797.855253188938,1.0
-4429.474466530128,1.0
-4838.923590867562,4.0
-4005.9592596586826,3.0
-2919.7176323197973,4.0
-4806.106171835136,1.0
-3854.8802919431782,4.0
-5716.18291391208,1.0
-1170.2571990466822,4.0
436.6982479815165,4.0
-3219.77662664081,2.0
-1996.0484140403519,4.0
-18129.880000110792,2.0
-18359.97289274449,3.0
-8083.324319560273,2.0
-1210.0758095611673,4.0
-8592.231622147412,4.0
-5871.968701092864,3.0
-11569.19034774857,4.0
-6968.749078568313,2.0
-3664.679630900387,4.0
-5548.876307371849,3.0
-5627.451770555056,2.0
-8283.528353936688,4.0
-7160.991087807062,1.0
-310.37168021049587,3.0
-1435.8175747952191,4.0
-7042.406618480248,1.0
-4984.466581442167,4.0
-56.33232408046294,4.0
-890.7201069562044,4.0
-5623.532942652185,2.0
-5396.959513890426,1.0
-6354.204723872523,3.0
-13081.173822566274,2.0
-3516.0683503919936,3.0
-13179.946094300196,3.0
-1402.111887458309,4.0
-5064.680268330811,3.0
-15142.039150547489,1.0
-12184.736648898743,1.0
-11721.258057564692,3.0
-3554.0336516271727,3.0
-2336.861100870028,3.0
-3087.4219225710094,3.0
-8116.2432350993,3.0
-4256.020004777762,3.0
-3166.2687227382416,4.0
-5083.098479900222,1.0
-7249.23949243726,2.0
-7654.06532204916,3.0
-5036.034121972741,1.0
-2927.630551073811,3.0
-1845.1371319304153,4.0
157.73924563196488,4.0
-1310.7774424573417,3.0
-3778.114919996483,3.0
-2314.6919275686764,3.0
-12962.884879629297,2.0
-3063.3670505006553,3.0
-20362.93180205993,1.0
-15476.810906670038,4.0
-7412.540871392797,2.0
-11445.4817573018,3.0
-2723.537583021282,2.0
-2675.113382706031,4.0
-4006.180352637507,2.0
-3638.164227558787,4.0
-1908.2944285240148,4.0
-9689.44098313031,4.0
-2557.6141537202516,3.0
-16016.323432450354,3.0
-9480.106396580892,4.0
-6308.70060340712,1.0
-979.3349252982788,1.0
-3821.86625847277,2.0
-10013.198275762868,3.0
-6690.749180257397,4.0
-13466.165737206347,3.0
-4166.463158603383,4.0
-6964.4907010308125,4.0
-5169.819878103173,4.0
-2257.698456489528,3.0
-13247.345947612273,3.0
-1294.5215235593957,2.0
-4270.438668968398,3.0
-5388.595103984488,4.0
-17338.561453190447,1.0
-8050.913766130761,4.0
-3428.049271649321,4.0
-5141.046663683173,4.0
-9916.177181186195,3.0
-4320.656988476179,3.0
-4407.522207813248,3.0
-2230.1933231354724,2.0
-2217.3322666341087,2.0
-2434.1966156409603,3.0
-1330.1147751756966,3.0
-5202.01330874447,3.0
-5142.564051904001,1.0
-51.97855476979419,4.0
-16293.842130432646,1.0
-6083.449440380389,3.0
-1697.25343347294,3.0
-5329.038740216331,4.0
-10995.475890302167,3.0
-1936.9311912179608,4.0
-7147.902861578558,1.0
-5789.560563698852,4.0
-3384.671202838756,1.0
-4309.145429733901,3.0
-18055.148318792264,1.0
-12295.465366261202,4.0
-3357.19115057234,3.0
-96.74307384329313,3.0
-55.195075779701824,3.0
-3596.129811822641,4.0
-4652.364577773318,3.0
-11656.608530933629,3.0
-6822.059793696726,1.0
-3062.0748199785485,4.0
-14704.139968614993,2.0
-22613.334951174358,1.0
-11681.714306483216,4.0
-2690.3288329071784,2.0
-145.76452319616396,2.0
-9534.153239810175,1.0
-8783.251104575227,3.0
-11848.243754399995,1.0
-6825.626377529971,3.0
-5914.429739644209,2.0
-18599.305977015687,3.0
-11797.69704427751,3.0
-11779.350052012393,1.0
-1228.1446893008183,3.0
-5070.627808423444,4.0
-2013.7771281006717,3.0
-4184.450382434787,3.0
-4429.6864817217875,2.0
-15704.460182145112,2.0
-17538.792802188327,1.0
-15469.449232276143,3.0
-6605.852942761047,1.0
-6822.916254011409,2.0
-2804.1733946980507,4.0
-14581.692431403178,4.0
-2898.8212567829805,4.0
-12532.896318914689,4.0
-9409.879074009155,4.0
-811.9519780444302,4.0
-6835.832320843379,1.0
-7881.885374983098,1.0
-4014.51886706782,3.0
-8848.296479403358,4.0
-4922.656449051392,4.0
-7944.978288549214,1.0
-3316.8892568799693,3.0
-15515.629607841507,2.0
-20928.29356987196,4.0
-10876.75302727928,4.0
-15384.926845707749,4.0
-2208.5393197414455,2.0
-4678.384697793139,3.0
-5325.263822532749,4.0
-20550.250884253855,1.0
-13565.75219235308,1.0
-13920.475668151383,1.0
-3002.2481816884783,1.0
-4031.360242911712,4.0
-8808.473852875815,1.0
-10102.307806520617,2.0
-5954.354116014114,1.0
-834.0120585124296,2.0
-8727.131418268325,2.0
-6971.425860202113,3.0
-18402.801206939468,1.0
-17242.613398071873,2.0
-14923.882998099945,4.0
-5249.849177096245,3.0
-6792.929377688577,1.0
-6525.790521230951,1.0
-15448.370582953497,1.0
-8992.764398352396,3.0
-7627.783594654473,4.0
-8520.930671184009,3.0
-563.6565441697792,4.0
-11149.090747767623,3.0
-17383.33206356701,3.0
-7822.022903112244,1.0
-2240.4664548704013,1.0
-6999.345498604252,1.0
854.0491751777743,4.0
-4172.757175669629,3.0
-4827.962497706101,3.0
-20328.306283338872,3.0
179.93305316258147,3.0
-7097.035159534633,1.0
-5106.777566478967,4.0
-4588.038865725402,3.0
-11884.863261997161,2.0
-6265.209999379702,1.0
-6140.08369161097,1.0
-9357.132773341014,3.0
-1077.826536331634,3.0
-10621.55989354778,4.0
-5028.928482106963,3.0
-7075.662948813217,4.0
-8751.812149945432,4.0
-3099.572125634313,3.0
-725.2681902015553,3.0
-4552.885596581118,3.0
-9775.89109350858,1.0
-8843.300149767407,1.0
-14507.234004725076,3.0
-5470.599287948854,1.0
-20249.100494719503,1.0
-7580.671063053527,4.0
-5677.719525156945,3.0
-2985.9782101468663,4.0
-4134.7772083505815,2.0
-10102.496198394962,4.0
-4030.7429259494365,2.0
-12751.77322724172,3.0
-3534.288840441952,4.0
-6909.004513306611,4.0
-1383.0933088536676,2.0
-4719.557733115279,3.0
-20228.16106050703,1.0
-20154.069960062836,1.0
-5407.687868960818,4.0
-9282.95195743583,4.0
-1685.250217339346,3.0
-8002.189413050947,4.0
-1505.1932702048962,3.0
-163.16732536677807,2.0
-3364.229114852491,3.0
-12382.37361101248,2.0
-785.2656016715882,4.0
-11640.281172512743,4.0
-11242.977710466548,3.0
-9273.244449386286,4.0
-3677.4248579031428,1.0
-6716.901219636151,3.0
-10287.62494700036,4.0
-11098.278693646747,3.0
-2152.3303372994674,3.0
-12967.934148519558,4.0
-7838.683888259627,1.0
-10298.123622814575,4.0
-3768.7738584967765,3.0
-5105.713567523015,4.0
-5395.137279406861,3.0
-5842.417922098266,1.0
-3478.2529983768636,4.0
-16469.919254384844,1.0
-5090.736711851043,3.0
-6412.188938437743,1.0
-2126.6436903543436,4.0
-18716.298248804593,2.0
-18466.448424001952,1.0
-12797.577331980196,3.0
-13327.799092772622,3.0
-4226.48565210552,2.0
-4804.748310744681,3.0
1194.0434589090628,4.0
-5720.665646142511,1.0
-3357.9227056011396,3.0
-13508.648013609101,1.0
-1349.949124080772,4.0
-5661.023288830347,3.0
-3564.0472339018606,1.0
-5505.9142218746665,3.0
-2140.7781373104817,4.0
-3790.634799141693,3.0
-6906.44641757707,1.0
-4191.590706482881,3.0
-217.50414105855532,1.0
-324.41535350222415,4.0
-13033.596202381646,3.0
-2802.519107376116,2.0
-11595.11009501226,4.0
-7061.107339875249,1.0
-4335.72016988378,3.0
-9068.693718997743,3.0
-6376.66007604625,2.0
-5077.695211014555,3.0
-1851.3693019395155,4.0
-5424.4691883584,4.0
-7440.315465169033,2.0
-466.8693287251146,3.0
-6076.861719903965,3.0
-15158.082681296473,4.0
-345.95486378612344,3.0
-4566.201747230993,4.0
-4279.3482583609275,4.0
259.81809726155825,4.0
-1072.0231667021505,3.0
-5737.331406914178,4.0
-6026.481655128591,1.0
-3107.448251953503,4.0
-3074.110684320556,4.0
-11671.155414348235,2.0
-5123.68720824641,3.0
-3733.6349694058517,1.0
-5090.046314249409,3.0
-5203.400546725426,3.0
-3704.2742463124423,4.0
-6210.3657462862575,3.0
-966.6440061212463,4.0
-9224.913670956228,1.0
-18670.561969752744,3.0
-13722.053139772594,4.0
-14444.355520263085,4.0
-8999.655458790148,4.0
-3843.3368207330836,1.0
-17227.20553377229,2.0
-10321.073220665112,3.0
-6285.268557401748,4.0
-13660.553946703414,4.0
-3921.7643673284892,4.0
-12904.248237718624,2.0
-15071.090992090803,2.0
-6644.231587323622,1.0
-1951.4879162243392,1.0
-1958.8129126163526,4.0
-1954.4318608914327,4.0
-956.7519150471429,3.0
-4764.9171441476265,1.0
-3156.6789735095304,3.0
-13636.844949685139,4.0
-5089.585021288244,1.0
-381.7548181805348,4.0
-16280.718068287491,3.0
-4190.076540213206,4.0
-4515.327060372218,2.0
-16278.173398129757,2.0
-6629.47827714448,1.0
-3943.02998980506,3.0
-9866.980877122072,4.0
-5617.872243598027,2.0
-15395.508036094403,4.0
-5511.373599534314,3.0
-11911.481664903362,3.0
-16546.239748728047,3.0
-9389.747995401636,4.0
-2490.5231286882854,4.0
-5290.953250762272,4.0
-1789.8325328669853,2.0
-8350.629791368507,1.0
-12565.851097279396,3.0
-3611.368895360155,2.0
-3160.4273083338785,4.0
-4092.3266513059507,1.0
-14305.763846117105,1.0
-329.2213287938325,3.0
-3641.7268438915235,3.0
-8604.512730170918,3.0
-1812.4775095178609,4.0
-18515.041897015977,1.0
-4339.651736362128,3.0
-14006.05656187819,4.0
-8249.95598623819,3.0
-3936.6379086953975,4.0
-3724.731200506798,1.0
-4839.155920789715,4.0
-8941.267333289972,4.0
-10027.808965388951,3.0
-1116.71500873662,2.0
-3096.2155559747735,4.0
-2746.056667030036,1.0
-10720.364400572635,1.0
-4473.279735240896,4.0
-14705.375014209052,1.0
-9730.080563925556,1.0
-6880.833047391678,3.0
-2419.6823100288384,1.0
-5873.957489049269,3.0
-5730.993447162774,4.0
-7084.483078169513,3.0
-1069.3471572078306,4.0
-2345.6753612049147,2.0
-3319.614481115165,4.0
-15521.48440904756,4.0
-16406.390510099987,4.0
-2767.2507136746426,2.0
-18705.528106170586,1.0
783.8205406733854,4.0
-2382.644354112683,3.0
-4313.4433853111605,3.0
-1563.4847888858576,1.0
-2858.161819833129,2.0
-6762.9230437351725,1.0
-12463.632193904386,4.0
-7638.508927584452,3.0
-17188.782326051616,2.0
-11369.334139864819,4.0
-4119.110626717642,3.0
-18992.844319271117,2.0
-4578.749643905232,2.0
-2579.9619890377708,4.0
-2965.9535570124826,1.0
-3855.2505830849577,1.0
-14958.292058565727,3.0
-4054.2127688174514,3.0
-8067.135801484128,3.0
-1006.2162749109616,4.0
-3836.3663616426747,3.0
-5634.116962650965,4.0
-18348.017186977784,1.0
-9342.519633761463,4.0
-5079.603196041396,2.0
-9184.157053538038,3.0
-6495.098039064706,3.0
-11251.926781849654,4.0
-3260.026322308975,4.0
-12543.555167161434,4.0
-2844.349662256397,3.0
-15563.392937498336,3.0
-4088.5696819064206,4.0
-13841.827821018853,4.0
-1109.3245971653341,4.0
-5299.953273290589,1.0
-3448.9450884103053,2.0
-945.2162192501019,4.0
-1258.2975223978383,2.0
-254.7807699873872,3.0
-11649.573455353053,3.0
-20649.850181952814,1.0
420.3932770595859,4.0
-3164.6208812525792,3.0
-8574.631855224217,2.0
-14767.521795574252,2.0
-5021.566986475803,1.0
-799.9948775184603,4.0
-5698.7920516817885,4.0
-3565.114789417295,4.0
-1901.6343314241003,4.0
-16762.88744233713,3.0
-12868.90106118521,3.0
-635.8986662509286,4.0
-6140.49064027278,4.0
-2127.5440853736654,4.0
-6572.773337574743,1.0
-5295.141076184427,2.0
-3377.5145524417067,4.0
-2407.924195593374,3.0
-6588.662780477195,1.0
-3455.426665905641,1.0
-371.2648867651071,4.0
-8556.520639013866,3.0
-2754.7909325634027,4.0
-2682.162488975035,4.0
-11796.55250178056,3.0
-13969.842588507105,1.0
-3927.7333350060276,4.0
-5255.988148959439,2.0
-2584.1351879408485,4.0
-6311.568973418753,1.0
-7912.399043235381,4.0
-17552.85976344372,3.0
-3418.994828319377,4.0
-6454.937226118989,1.0
-2172.3382869399557,3.0
-2416.0421988835387,3.0
-19453.16848930257,1.0
-15638.424688628531,1.0
-14245.456100122716,1.0
-9626.084246129867,4.0
-5763.039077636548,4.0
-8674.384727513097,4.0
-3102.233721785922,2.0
-11405.42128269627,3.0
-14384.035086786567,4.0
-6487.9891344629505,3.0
-4102.771674107284,3.0
-15275.907712442811,2.0
-14077.53188084977,1.0
-5949.318314520016,2.0
-19805.347139054753,3.0
-17846.1382040668,1.0
-15233.52430552722,1.0
-4811.730053179523,1.0
-10359.605493926145,3.0
-17919.722050939527,3.0
-7937.676237930586,4.0
-6009.10627520247,1.0
-15472.750588417177,1.0
-5945.986877815685,3.0
-3360.8295278863925,1.0
-6956.902628359112,2.0
-2046.7535187907233,2.0
-5368.296531277278,2.0
-3437.7596246061935,4.0
-10732.58486714787,2.0
-11359.55357283763,1.0
-3825.975209076196,4.0
-1336.984132399859,4.0
-5615.322207070289,4.0
-13205.616897701198,4.0
-5290.836014980233,3.0
-15153.633203338135,1.0
-3655.175989096482,4.0
-16169.361967732739,1.0
-15135.510108805789,4.0
-4771.949467961926,2.0
-3028.49186554453,3.0
-12971.791516916333,4.0
-3309.571277842746,2.0
-3918.672717957137,4.0
-11583.469804231587,4.0
-1922.571881933083,4.0
-14188.265867126858,3.0
-2652.057164398162,4.0
-7379.305587682102,2.0
-6981.443527807854,1.0
-1247.4708126816722,3.0
-2872.3175539031263,3.0
-3414.2761412685377,4.0
-1695.5036930652723,2.0
-5679.082997104733,1.0
-14698.484170428215,2.0
-13660.97192894674,3.0
-21740.211177806133,1.0
-7266.30183218813,3.0
-16573.189335640956,1.0
-15184.438251208678,2.0
-1924.479115125827,2.0
-3799.1964429037303,4.0
-4820.368538620205,4.0
-4441.810448074272,3.0
-7166.968812804067,2.0
-1386.950209484728,4.0
-8019.9972090893025,1.0
-6678.868957928273,1.0
-5086.2480135972855,3.0
-12302.1077584791,2.0
-6190.457907944236,1.0
-1554.9492896951324,3.0
-19549.70274312613,1.0
-5213.83429529597,4.0
-12520.036304014453,3.0
-10279.804662293853,4.0
-6404.71208967454,2.0
-5811.952877499436,1.0
-6622.333483545703,3.0
-19803.051719232488,1.0
-3486.0685416798015,3.0
-4205.009179847082,2.0
-6620.442156486022,3.0
-1496.87620306619,4.0
-428.16194328144957,3.0
-2973.5224194168277,3.0
-8721.083702069336,3.0
-5757.828312046533,4.0
-4691.857219136407,1.0
-9513.222637004254,3.0
-9349.293195736622,1.0
-4058.4473319383524,2.0
-13327.397358745784,4.0
-2795.4446538236125,4.0
-5122.333873568317,2.0
-3119.0027046328128,3.0
-4332.069156000227,4.0
-21262.861672225048,2.0
-984.8781735162906,2.0
-8493.509881976224,4.0
-6938.31676590469,1.0
-4883.7095847546,3.0
-5253.480508985378,1.0
-374.0206653624854,4.0
-6483.45536412882,3.0
-10549.221728318049,4.0
-6563.175372267879,1.0
-19789.52383785443,1.0
-3457.5589492878685,4.0
-14709.85749258124,1.0
-5772.762763671864,2.0
-4331.578456666605,2.0
-4248.588113030772,1.0
-11074.029993724705,4.0
-1601.9803741750657,4.0
-13849.02507245442,3.0
-5107.611310350419,3.0
-4087.3210545438824,2.0
544.8374280693384,4.0
-5372.222446589054,1.0
-3426.965964454417,3.0
-4715.491237914975,2.0
-10281.784853299785,4.0
-3650.6164803315983,4.0
-1340.6023296253916,4.0
-2297.381267799101,4.0
-5916.031685397796,4.0
-3677.0326745399525,1.0
-17085.34743070876,1.0
-4081.1446036816214,2.0
-21849.70478534106,3.0
-4670.244612803564,3.0
-7265.630455902802,1.0
-4136.103038934868,3.0
-4665.773283002165,4.0
-772.1119051960138,4.0
-1280.23048904677,4.0
-11458.962607555373,3.0
-13999.491212898169,3.0
-5560.484453035747,1.0
-7241.466399271393,2.0
-7798.153064510587,1.0
-11983.928384394807,1.0
-4137.918357821405,4.0
-4020.286763993514,2.0
-1283.0588670912432,3.0
-6500.485513826187,3.0
-13246.312250346666,1.0
-1681.4903384375148,1.0
-7000.425658280499,1.0
-12300.186585652627,3.0
-4765.791340128107,3.0
-1553.7581559798227,4.0
-3539.6048208689754,4.0
-2111.837731004418,4.0
-4339.091480324525,3.0
-16565.223725541273,1.0
-20538.381279543974,2.0
883.7483588400615,3.0
14.915914707861248,4.0
-5621.015483127903,1.0
-11649.463023053087,4.0
-11822.249357163855,1.0
-4922.013556863054,3.0
-5826.535394452258,3.0
-4136.539848117782,4.0
-6169.259721941998,1.0
-8121.707399347008,4.0
-4456.009565439324,1.0
-2659.835028649274,2.0
-2405.3079907805304,4.0
-8869.027991217248,4.0
-7089.700935000614,4.0
-10401.340893501718,4.0
-12897.961781745998,2.0
-9694.219732915037,3.0
-4039.24389345667,2.0
-2816.844450434426,3.0
-3234.0539972448278,4.0
-10816.225282454816,4.0
-12625.06022994174,4.0
-2756.7657365140813,3.0
-1359.6645540776713,3.0
-1628.9007030021235,2.0
-6332.009762289664,1.0
-9751.881814556322,3.0
48.85369645740343,4.0
-10127.950611042363,1.0
-8445.012694981946,4.0
-7587.817802123413,4.0
-13974.630081638497,3.0
-2597.88370253436,4.0
-15365.274425858766,3.0
-6883.752579227996,1.0
-7761.23849494979,2.0
