sal_avg_lc2vs0_iate,empl_x0
-23104.06811251522,97.0
-22081.196016998805,98.0
-37979.59917015616,109.0
-34995.76349042947,48.0
-35589.45086212165,82.0
-20697.77072366188,50.0
-32505.44856494393,49.0
-21932.254878575313,92.0
-23593.643836757004,54.0
-16964.10650257844,51.0
-40543.480172651165,87.0
-19312.65024649369,77.0
-27796.377875473594,85.0
-27500.613598387805,71.0
-24554.776336625433,51.0
-32520.850206108233,84.0
-16824.3416484617,53.0
-32587.980088671226,46.0
-33517.881293729515,93.0
-26051.360891609707,37.0
-23858.333984706318,89.0
-18213.954066905673,47.0
-25018.620571827207,61.0
-31973.254868333148,83.0
-35597.448588357314,61.0
-30801.491600067886,63.0
-18517.99639929902,54.0
-19336.999958295182,49.0
-35771.97619704387,36.0
-28047.425979226995,50.0
-26816.526757330066,42.0
-23052.68690393554,70.0
-41541.860191256535,84.0
-21184.673942052552,62.0
-31321.40901921955,64.0
-21758.202718630913,97.0
-28290.439951831286,73.0
-31379.82961711297,85.0
-17740.478161094485,40.0
-25219.908194808297,51.0
-22698.617762822665,35.0
-23497.426577564478,56.0
-36416.25610045083,28.0
-28089.385360127686,65.0
-32292.973612899194,79.0
-39394.277618404754,95.0
-27800.134995212575,75.0
-24117.97214953949,61.0
-24164.365092577507,39.0
-41387.434144411345,65.0
-22229.331040858433,72.0
-30129.403818756473,41.0
-23602.031188310528,59.0
-19842.367498940555,43.0
-29278.500201664614,76.0
-32732.504505267432,55.0
-19273.658504711166,34.0
-18726.105606477242,32.0
-27787.116077481278,70.0
-31757.031939499524,63.0
-36728.32676921324,42.0
-44654.11089912647,69.0
-18697.986172396817,55.0
-31167.304647128407,92.0
-19442.441566890473,94.0
-39858.75207249119,90.0
-25402.61090019598,91.0
-29231.153979537186,88.0
-28908.491158480218,94.0
-40519.35153550848,76.0
-19653.81535104702,102.0
-25598.366306086395,76.0
-18027.883660542495,76.0
-37025.31401092086,53.0
-18331.479572558477,46.0
-19665.172037170156,99.0
-42559.25047957989,70.0
-17812.705321016252,78.0
-24253.10511009582,61.0
-24088.141060390702,89.0
-29746.65807414698,77.0
-20911.549837833976,93.0
-21205.737461221564,15.0
-38413.41338272876,54.0
-30563.87614973414,40.0
-17554.9509269246,40.0
-34304.46579176466,87.0
-23598.64687781509,80.0
-37357.06098449345,44.0
-23786.07286480303,81.0
-37441.53275477267,96.0
-29253.647334505702,48.0
-25974.53942217343,24.0
-32316.80527833054,50.0
-21683.764758254474,91.0
-37214.43664300066,49.0
-34602.88070396159,56.0
-23168.017431625478,98.0
-21328.45391613416,53.0
-25073.88161590329,69.0
-30601.33798280394,65.0
-22358.930546578857,42.0
-34188.16782354881,91.0
-17291.565221853918,51.0
-25834.296744942858,54.0
-24794.078522268366,45.0
-18195.18159293482,36.0
-17328.86997338515,39.0
-36748.74001598495,76.0
-28816.127718355285,62.0
-19039.280325354077,30.0
-36592.665378802856,111.0
-37130.54561675689,74.0
-35748.54504375991,52.0
-32501.54779703864,100.0
-31887.030123000695,55.0
-25226.935692792173,89.0
-23638.719747154588,58.0
-38832.42820858671,43.0
-22084.45835536208,78.0
-21570.77928100913,38.0
-31469.93285184954,76.0
-16926.357318548322,70.0
-23083.903104272493,36.0
-37431.29219190116,42.0
-24142.751975698622,91.0
-16690.67322528664,60.0
-21969.360259825906,65.0
-28995.06476366699,70.0
-23057.162443222216,52.0
-26329.648204505524,75.0
-25869.66374554422,63.0
-22542.01186535376,87.0
-30503.054467971695,116.0
-26203.10556731477,80.0
-40877.11510656678,85.0
-27355.037119983746,73.0
-32674.86237774603,55.0
-33217.92480987256,81.0
-34690.533563177974,71.0
-31756.193663896724,100.0
-34319.58507517743,44.0
-34699.65862414087,55.0
-17477.277699699895,80.0
-31696.072052589036,90.0
-21364.054902770993,92.0
-21955.069615738226,110.0
-27557.185066960483,103.0
-28729.399092337357,87.0
-19361.13564400986,79.0
-32020.018217384135,78.0
-23840.055069581882,46.0
-20989.6723995314,45.0
-24357.04434394459,79.0
-26315.156063357783,63.0
-32904.38262366894,49.0
-28327.44830746739,55.0
-16741.062737124732,44.0
-34913.42439535759,79.0
-31324.465814273106,25.0
-24643.352065466468,71.0
-34167.82833060961,103.0
-26266.789805814446,91.0
-40553.43342052563,62.0
-39023.01614091757,65.0
-36567.2246080028,42.0
-23045.762129317052,69.0
