empl_ttl_lc2vs0_iate,unem_x0
-9.699770107359642,0.0
-9.826246106728401,15.0
-10.452878712385223,21.0
-9.708460969490758,24.0
-9.285266191947777,20.0
-9.319065296932298,1.0
-9.551053387718753,24.0
-10.131757011917648,21.0
-10.695010362797136,16.0
-9.29782372688057,22.0
-9.958603238914307,23.0
-10.981752971820377,19.0
-9.785313117857454,22.0
-10.475753736385265,23.0
-9.584577915525891,15.0
-10.370812448110561,22.0
-11.521581612436446,0.0
-10.576285360919034,8.0
-12.921362579643823,13.0
-9.583987832081535,20.0
-9.110697986254165,21.0
-10.101621556293546,17.0
-10.275016041914846,15.0
-10.881973324723234,16.0
-9.786187123820554,7.0
-11.1305212576761,5.0
-9.831910338742563,17.0
-10.882095157604024,10.0
-9.426007077340014,12.0
-10.855950374187795,5.0
-10.100272999496665,0.0
-11.352679805154512,19.0
-10.043606923205123,6.0
-11.416687553915487,20.0
-9.876606690650842,3.0
-8.686414258739367,23.0
-9.387966518471234,9.0
-10.310051634190936,11.0
-10.06756478366998,12.0
-10.283005778805665,23.0
-9.074673250538655,20.0
-10.07619775170983,18.0
-9.25391335757113,23.0
-9.20891361421348,6.0
-11.838007529937185,6.0
-10.355450107862534,15.0
-10.882256156970257,14.0
-11.599134400987776,22.0
-10.956718835123768,20.0
-8.773155838294903,11.0
-10.056960333016852,24.0
-9.569463491992925,17.0
-11.096242117707009,16.0
-10.099588792905472,16.0
-9.969386909641822,9.0
-10.48560540461744,1.0
-9.383035955681795,22.0
-9.602047212601535,23.0
-9.000896078248338,5.0
-9.38432372653106,23.0
-11.16935815399472,19.0
-10.752780069079416,18.0
-11.658271757045926,18.0
-9.380148981545716,10.0
-12.010198658305374,4.0
-10.97520736035304,21.0
-12.875361863067988,9.0
-11.49255142586962,13.0
-11.555401260230365,10.0
-10.266215987776167,19.0
-10.972334192894175,23.0
-11.300578406142892,9.0
-10.225560306254206,9.0
-8.570036123309169,5.0
-8.805702011230718,16.0
-11.184207893574607,15.0
-11.490946867079776,2.0
-9.159233319761839,19.0
-9.030483102331985,15.0
-10.066392859636348,5.0
-9.662861710715175,23.0
-10.263974369552276,17.0
-10.00602403159911,6.0
-10.047472947551896,14.0
-10.984300155282552,5.0
-9.855176776237151,24.0
-9.223798950098052,23.0
-10.909149847575364,15.0
-9.296252148169762,17.0
-10.754268931184154,14.0
-8.374173989707776,7.0
-10.651415283129205,12.0
