sal_avg_lc2vs0_iate,region
-20574.302909015118,14.0
-25201.827761626504,20.0
-27192.524957671863,45.0
-23949.49444181974,63.0
-35599.96907882358,24.0
-31764.019001848894,60.0
-29621.59405036147,36.0
-23284.37576883393,54.0
-31843.55922078922,82.0
-30769.202166434865,60.0
-32399.530318657948,78.0
-18372.518807606146,72.0
-33599.303275693834,7.0
-21705.979241546498,34.0
-34867.05946818067,52.0
-30283.4558606422,9.0
-43261.47993795763,35.0
-27860.107649001126,33.0
-25197.338633762043,17.0
-22823.397315127004,12.0
-17606.142662566857,74.0
-22109.89856912088,5.0
-17764.925590821797,48.0
-20662.413122158636,33.0
-23438.19845436619,65.0
-22656.497988405,46.0
-38704.82620848698,69.0
-25440.85755852498,30.0
-21118.264241824643,22.0
-29144.521505761124,31.0
-18262.089882403656,30.0
-35929.86243840441,3.0
-30066.967270666275,1.0
-23401.004957723293,28.0
-18497.271669617312,17.0
-28273.462207719218,55.0
-18162.636717321187,84.0
-40117.494298526326,37.0
-18328.48944784974,59.0
-32820.65764115315,39.0
-16398.4873519588,6.0
-30742.770082801868,33.0
-25389.62277019666,16.0
-25223.664968641486,78.0
-31947.951263903073,65.0
-33669.34742476268,29.0
-34779.40833901758,24.0
-36526.89171692629,54.0
-23569.855811048485,51.0
-32123.124701590936,56.0
-18103.84014331036,14.0
-23648.603685584785,34.0
-24458.117184852803,4.0
-33883.288565926196,74.0
-25956.281980164025,68.0
-37302.68016504716,35.0
-36028.47024729699,17.0
-24752.94284550479,77.0
-31033.340192639193,33.0
-29808.2541328202,12.0
-28716.04380670385,27.0
-24326.23160844118,37.0
-21559.821383999988,30.0
-19811.120732761374,58.0
-21842.824536444463,37.0
-30265.279178650206,55.0
-17453.43170576711,72.0
-34297.64668766115,34.0
-31646.851013432133,59.0
-18047.825642867745,43.0
-33928.35126815824,21.0
-32050.04782682535,27.0
-16881.198409055814,36.0
-25564.539933169628,47.0
-32103.571128735075,11.0
-19771.105017235852,11.0
-31023.949571477606,38.0
-36319.775518985305,67.0
-26091.057142215384,12.0
-21297.59716619175,10.0
-15210.303348372343,18.0
-18887.03046218081,82.0
-24453.81325365517,38.0
-35355.36427490684,42.0
-35893.16871320657,35.0
-18448.4610925473,6.0
-39920.83146312573,30.0
-31762.64901740518,47.0
-40237.42715937941,8.0
-28791.991657652354,71.0
-19867.887504621536,16.0
-16235.121550184478,79.0
-26600.585219057444,21.0
-27953.3255848946,23.0
-28412.754062925498,78.0
-28764.49535817086,19.0
-21927.51670752201,36.0
-41801.46670909636,19.0
-23210.396232604202,76.0
-40637.80080053439,85.0
-16582.711751716808,72.0
-36630.63956780231,38.0
-33737.72842194168,20.0
-22670.47675465238,77.0
-21938.560832725587,23.0
-37491.35176389892,57.0
-29097.833312872783,56.0
-27860.9175104542,66.0
-21741.354289219074,78.0
-29283.351689942006,77.0
-22706.62403303678,62.0
-37572.44457116661,78.0
-17337.887644966915,30.0
-35856.55973708677,46.0
-18824.357001006076,54.0
-23339.852071908568,16.0
-27171.45307069756,52.0
-19718.277027234475,54.0
-38525.3838910746,28.0
-26838.314168458914,75.0
-38025.29118321724,21.0
-30138.618929891796,25.0
-28107.04264644006,73.0
-22129.658228851356,63.0
-40687.0519198197,11.0
-34448.39482182628,74.0
-36228.346960952156,77.0
-18738.77369296232,75.0
-33920.21633211932,16.0
-36355.85285330192,52.0
-42139.588575692316,34.0
-36634.44939577872,37.0
-19178.5161998645,3.0
-20835.16500383385,83.0
-25276.482413051563,25.0
-28074.689011683524,25.0
-22184.65401576698,6.0
-23892.661422286248,66.0
-16380.013183115816,63.0
-25547.99254452874,5.0
-27252.484112525915,18.0
-37889.38953518832,33.0
-35716.79744647028,5.0
-35114.583168742334,64.0
-23280.69839989029,18.0
-21167.66375069553,60.0
-31302.6295527529,46.0
-32379.960438166294,31.0
-28277.031637831664,78.0
-42595.24857305233,18.0
-41795.25858835492,12.0
-19686.442055584786,5.0
-20667.644634644777,20.0
-36758.620643141636,84.0
-23367.753371505023,37.0
-24303.407789295263,25.0
-30060.40721655225,21.0
-18033.406224420367,54.0
-24372.58120340625,7.0
-27716.065619779598,41.0
-36681.55689817557,81.0
-17947.691747996905,38.0
-25189.012253804634,67.0
-27441.955733462826,72.0
-17987.84599819153,41.0
-24575.449165715938,75.0
-23168.856228127763,63.0
-27426.545981379415,37.0
-42729.10941167855,2.0
-20834.797746375203,15.0
-29629.381814699584,46.0
-35828.95791833682,31.0
-23164.779128400445,19.0
-19607.980259171643,15.0
-37268.40171723941,9.0
-18945.176872014457,58.0
-23822.061882428516,81.0
-22864.949915124034,10.0
-22351.140707802835,2.0
-39382.720539419744,65.0
-29647.253913779474,36.0
-39694.57353046854,25.0
-32639.44135666156,69.0
-29518.55554672575,69.0
-34114.8584029845,15.0
-27114.675540774573,54.0
-18762.12308172781,2.0
-35686.599306343596,26.0
-38244.756421001424,76.0
-27312.962237130097,14.0
-19437.455144827858,9.0
-19952.648654967496,69.0
-25460.69735080214,29.0
-36335.383883937044,80.0
-41064.180554860126,41.0
-17662.069466417917,53.0
-25107.728887324403,31.0
-27421.785716022147,47.0
-30528.681694376588,36.0
-25373.791292887166,55.0
-17134.798291728086,52.0
-34517.03950860063,37.0
-20723.23943486749,25.0
-25089.32917826325,40.0
-41308.994557842394,60.0
-24781.3625360149,52.0
-30333.001611000866,82.0
-32317.966988884367,7.0
-34090.83812517508,61.0
-22582.823878146257,84.0
-24908.361315245656,54.0
-22789.422365551196,46.0
-37160.65731205658,32.0
-28228.080722564304,38.0
-28636.07800674237,20.0
-28510.87099983369,70.0
-35612.60998644423,2.0
-29328.7021233806,66.0
-26374.500523810013,15.0
-36396.346831081864,52.0
-24622.34288408547,35.0
-36170.7214938624,47.0
-34827.39192052431,48.0
-35634.668522159634,34.0
-33462.92826981176,16.0
-39887.2631823135,27.0
-19381.604100957626,38.0
-30664.34978482691,40.0
-22698.479934319985,33.0
-25856.528196895946,78.0
-17538.840411361278,51.0
-27127.641768237278,54.0
-19701.243675240734,79.0
-21335.11962877374,78.0
-26252.3669442018,69.0
-32789.30213101095,34.0
-23184.918887403823,64.0
-26541.687011958446,38.0
-23800.5487441215,76.0
-19840.55615350826,58.0
-30347.570404977014,49.0
-20548.290301788868,19.0
-18189.19287436378,3.0
-17729.715417249918,14.0
-30268.365178554333,42.0
-20224.083197205808,11.0
-31822.7704198266,21.0
-28915.08785761232,31.0
-37658.84680168716,23.0
-30634.99753672995,75.0
-24379.265367022475,32.0
-26908.043939870957,12.0
-23382.901504242614,63.0
-29685.636727359237,28.0
-20628.292738122786,2.0
-16995.787002243298,51.0
-31887.67808899811,17.0
-39534.52156999067,25.0
-18065.81997733895,72.0
-37074.067851128835,29.0
-33119.33768817183,64.0
-16999.3624132243,41.0
-18271.672274050736,64.0
-29454.605780162266,27.0
-28344.722259641625,31.0
-31519.608106509306,39.0
-20572.50246331128,59.0
-40142.10340456237,40.0
-24151.224952621124,66.0
-37298.272142024274,15.0
-29622.767737689937,18.0
-23222.292368221006,35.0
-25518.186735651325,42.0
-32719.375219049234,79.0
-18916.09385552632,74.0
-19818.17875862393,16.0
-29834.721436869208,9.0
-32635.889001693242,8.0
-35878.62109782304,76.0
-18843.056712616624,1.0
-21203.007390661136,54.0
-39155.70630237989,56.0
-25817.278782438552,8.0
-30854.371974286456,65.0
-21710.629509675426,80.0
-33962.883403681815,73.0
-22797.54417734879,24.0
-28374.90544467837,61.0
-28199.2164794758,3.0
-18091.320620001174,71.0
-23926.819826806877,38.0
-31594.675915558844,83.0
-19598.57046447744,42.0
-31081.91475062297,50.0
-23007.43775983577,81.0
-36209.25396059961,71.0
-22260.15209542795,30.0
-20201.073469942152,37.0
-39526.38428312626,73.0
-32358.869900537018,71.0
-24038.980355560714,48.0
-30224.43996453983,19.0
-24636.93095569373,81.0
-27597.906014126544,61.0
-44546.564057694704,77.0
-23060.120902185216,55.0
-36908.0440136065,14.0
-24959.385748148456,43.0
-36064.01239576409,16.0
-26021.924159024817,63.0
-18747.445053431904,21.0
-24285.778381866396,51.0
-35843.263733854394,68.0
-22952.885329176712,15.0
-20719.602741329898,4.0
-41892.487956355006,37.0
-20018.521849845776,57.0
-25445.942228123666,39.0
-27640.32967536078,78.0
-20989.855352147944,48.0
-16315.678667928225,23.0
-31762.76172013089,56.0
-24821.93325267239,66.0
-21719.43408510835,73.0
-34611.91546403951,8.0
-34623.702984404255,12.0
-37039.01513384678,78.0
-40750.28870631155,18.0
-30116.418819170507,58.0
-25407.917067153678,39.0
-35206.47946258455,10.0
-18537.99140697308,14.0
-26231.93749268056,49.0
-18959.04369814082,78.0
-31115.808109150654,36.0
-36461.37183796498,39.0
-39771.01989367428,83.0
-31580.126265441806,53.0
-28863.167129201775,40.0
-25042.842825131607,80.0
-22131.0336165852,3.0
-23497.52728905621,73.0
-22027.245554147743,33.0
-29147.630561838778,11.0
-19949.83833324766,40.0
-21487.304847480107,24.0
-16691.2944257448,6.0
-26850.403565812823,35.0
-38741.5126856966,47.0
-36117.303444155856,54.0
-31176.36792333746,45.0
-36495.710693562156,68.0
-17270.385384370966,47.0
-16446.878968539124,85.0
-32467.637272159423,76.0
-19296.9750315253,39.0
-32179.105912789953,14.0
-32573.14434071765,35.0
-33651.073595996946,72.0
-23123.13584572587,2.0
-25662.91435749388,9.0
-39872.12766689854,11.0
-25056.5034852958,40.0
-36556.70452304551,51.0
-18109.347443698436,45.0
-25725.048802350648,49.0
-18666.900198182804,79.0
-21309.26569856132,68.0
-29157.7739605836,34.0
-35973.58653782534,81.0
-19636.92914000929,7.0
-23316.953401587252,74.0
-36479.14555216015,58.0
-33280.41386973279,12.0
-30969.441239797292,59.0
-42178.507553551244,69.0
-20728.132824674303,62.0
-30821.561748204393,32.0
-29518.539055986992,60.0
-31049.62343896227,71.0
-31039.793859730293,16.0
-25255.219612392793,47.0
-17578.7766506773,10.0
-27234.34561479508,3.0
-31801.635324798077,84.0
-40746.77130470479,53.0
-30013.49719865428,61.0
-19993.740878567056,6.0
-21206.161743182172,22.0
-23479.47090166181,53.0
-23378.50484591045,27.0
-15672.539818129548,4.0
-33463.313213636226,13.0
-37604.759686124424,24.0
-18125.514667946933,55.0
-20920.882924351776,82.0
-28091.551722721073,33.0
-37447.28578727484,76.0
-18508.028734503274,35.0
-19901.646655324686,48.0
-30939.078436926116,8.0
-25823.836234141494,59.0
-17066.893462843123,3.0
-35736.96788992213,48.0
-22455.775015878826,12.0
-19446.32114789565,59.0
-23131.630936543763,14.0
-36632.23226333656,84.0
-26910.790674808457,39.0
-28015.235852449558,7.0
-19173.89041619772,32.0
-31612.626149488642,81.0
-24259.393518203517,65.0
-36955.89341298513,48.0
-17992.87419282797,69.0
-41474.99695107936,56.0
-33277.62575713794,1.0
-17393.639617220415,47.0
-39744.6789088489,36.0
-20945.32824711163,78.0
-25939.605314914617,27.0
-34617.140866256406,30.0
-23173.453721307837,79.0
-29004.48417297468,24.0
-19146.631361798693,5.0
-39852.039789563365,44.0
-27722.33882791733,33.0
-26252.752813633717,35.0
-20327.53207864884,49.0
-28193.13760412635,38.0
-32039.882049614174,16.0
-35817.77199791495,61.0
-29258.1416111793,37.0
-27877.601720874143,43.0
-32447.947804281583,60.0
-32478.925865666177,60.0
-36756.947420827186,29.0
-20662.032736923244,41.0
-35823.494904963125,9.0
-19193.22209126515,63.0
-26736.006743816757,18.0
-25848.84706557914,20.0
-27461.03203076388,53.0
-33511.24704765742,62.0
-41617.243850677514,31.0
-34579.91005404314,9.0
-23341.68924041175,85.0
-36411.23844519297,75.0
-26751.93484770022,15.0
-38682.979991193664,21.0
-43420.03644446274,67.0
-22108.148012114973,78.0
-29712.214048760383,42.0
-26921.774013477803,19.0
-18915.134932917623,69.0
-25860.61313134829,12.0
-17342.91673387162,58.0
-31627.756794219502,12.0
-26811.942885215853,2.0
-29709.798113138644,32.0
-40350.86192901482,77.0
-29242.423812056993,61.0
-31987.24564156725,73.0
-22924.820934652857,24.0
-38167.72606057441,19.0
-23225.63038991531,68.0
-28496.18587597757,62.0
-36846.16688703694,17.0
-35434.44867631809,39.0
-35462.355982352645,45.0
-31049.16963366978,6.0
-26074.360844739356,77.0
-38734.228330425554,35.0
-24652.070379876757,68.0
-37859.532740220515,34.0
-33187.94129769641,83.0
-17784.099968118182,7.0
-39879.83282664899,13.0
-33946.6314149397,55.0
-19361.092126482687,75.0
-29986.291576514363,59.0
-18956.1113275792,56.0
-25487.014634560208,69.0
-28475.564575170854,74.0
-16256.002825699477,6.0
-23440.09054587091,61.0
-30206.357603297554,48.0
-40681.74783747911,7.0
-37134.45361107537,63.0
-22612.813560652277,30.0
-39312.08738882069,18.0
-32910.44494747124,82.0
-20183.96711769981,31.0
-23096.343077805628,37.0
-33526.361669646925,61.0
-32054.77840725411,31.0
-31841.53610469676,42.0
-16663.215138537686,56.0
-28192.81874163873,26.0
-28442.294082612934,60.0
-38667.33545832512,41.0
-32161.356599517145,31.0
-21558.61790088036,10.0
-31443.644211522274,22.0
-41376.88738529604,3.0
-33223.91228630688,19.0
-25146.796216059432,50.0
-38799.46050518623,24.0
-21990.18714089757,45.0
-31514.97345155264,67.0
-31018.67901046312,82.0
-31911.576387323643,37.0
-28733.48800447645,44.0
-24778.792300894434,69.0
-33999.66998903391,35.0
-23944.118490462104,85.0
-20411.11806307797,57.0
-34565.71075612836,71.0
-21141.661696228024,59.0
-26466.62469471379,23.0
-23059.741706105917,78.0
-19128.887740877777,13.0
-19495.602217804728,41.0
-28231.078383927852,30.0
-36138.35088244836,80.0
-24520.48815238117,40.0
-32832.68659300996,43.0
-22828.974186417498,77.0
-28510.47283597391,50.0
-39239.33240833557,50.0
-18102.181111481485,10.0
-25826.145471586064,22.0
-26962.21230325788,22.0
-26719.601918298096,65.0
-29279.901334401882,64.0
-18004.278448777994,32.0
-31527.43231709935,43.0
-26456.754040660286,59.0
-26481.512012490297,70.0
-37059.4356633599,12.0
-25817.805579237596,16.0
-31194.8632902796,66.0
-25546.977464969466,2.0
-17920.313956019734,56.0
-24155.269909910465,66.0
-32889.02325697219,14.0
-27175.413426901792,21.0
-25806.338905657143,61.0
-32283.42176976217,44.0
-22779.790991257098,5.0
-17531.14601140352,47.0
-32532.565138985632,70.0
-31784.273949243085,7.0
-23993.747102595495,44.0
-20845.465049506245,45.0
-18729.628440251854,35.0
-16764.575412920374,77.0
-26989.849551715026,51.0
-34266.110086839835,24.0
-34656.40089266417,42.0
-25639.136142778785,24.0
-29975.179607146463,22.0
-36560.09906275505,17.0
-25556.369004031723,53.0
-23451.227573597662,57.0
-24035.430575774622,49.0
-36106.673366977804,9.0
-20659.697366710014,34.0
-23575.44375018231,65.0
-28152.40724487065,50.0
-32442.68777688625,5.0
-23441.90871002415,36.0
-21209.90346405065,23.0
-29603.932665490443,43.0
-39257.49199836544,37.0
-31227.031585445075,29.0
-35374.599844905526,18.0
-17724.808878506203,13.0
-30901.97550325904,68.0
-27706.193896202534,76.0
-19153.31843447115,25.0
-21188.34413214285,83.0
-31688.109959445297,44.0
-22767.37878580708,41.0
-25686.020243083094,33.0
-37010.577228283495,69.0
-25474.30377109224,73.0
-19512.512614500552,26.0
-37118.153991100306,56.0
-38646.959796857715,26.0
-17346.457694312558,34.0
-16982.499735729867,11.0
-23567.524051925266,14.0
-32466.54654613618,38.0
-21358.84953313719,2.0
-33458.78015847996,78.0
-28611.595663136653,74.0
-30930.224929580494,71.0
-23887.323064978522,26.0
-44531.61944691643,41.0
-29957.090303506728,83.0
-19108.452622460358,57.0
-26687.08690492891,58.0
-37070.08084048216,10.0
-22258.37876516972,3.0
-33356.57217794,33.0
-34671.869822055116,30.0
-29965.30086833524,79.0
-20836.94710765492,51.0
-18663.41399501093,62.0
-29048.391009439518,65.0
-33764.50426628421,49.0
-22188.55226002986,10.0
-21266.2019207255,55.0
-18356.035224974516,27.0
-24390.08931179869,49.0
-23152.85672234549,44.0
-18091.594007024923,41.0
-16881.105154187102,67.0
-42730.26391309936,58.0
-19001.01516897813,13.0
-17914.905309637397,26.0
-39633.73383185431,48.0
-18819.39270063679,18.0
-28799.59629621238,46.0
-24305.743270244348,76.0
-20813.97540694236,43.0
-17004.36976549897,82.0
-24616.718539960344,30.0
-28511.78195197381,46.0
-19000.445519694364,43.0
-25988.068438512175,73.0
-41101.47526038082,44.0
-27519.268821314647,19.0
-25120.159070648868,28.0
-19969.299914884155,20.0
-27175.574366776364,7.0
-31439.534428386745,5.0
-31248.895949809772,39.0
-18147.570396537358,36.0
-26169.0913619575,11.0
-17387.94811452011,63.0
