grid,density
-54895.08527666481,9.652741786728086e-06
-54854.5469941849,9.800922357565118e-06
-54814.008711704984,9.947064846882773e-06
-54773.47042922507,1.0092109605256057e-05
-54732.93214674515,1.0237747598495668e-05
-54692.393864265236,1.0384011527671163e-05
-54651.85558178533,1.053127342617904e-05
-54611.31729930541,1.0677344633601662e-05
-54570.779016825494,1.0823912446142744e-05
-54530.24073434558,1.097176970817499e-05
-54489.70245186566,1.1122826452674183e-05
-54449.16416938575,1.1275380552057089e-05
-54408.62588690584,1.1429545726644408e-05
-54368.08760442592,1.1582751062665908e-05
-54327.549321946004,1.173687303203385e-05
-54287.01103946609,1.1889032237128973e-05
-54246.47275698618,1.2038854411135202e-05
-54205.93447450626,1.2191173453002492e-05
-54165.39619202635,1.2344744568487166e-05
-54124.85790954643,1.2499455655462824e-05
-54084.319627066514,1.2659410137679566e-05
-54043.781344586605,1.2821140277330186e-05
-54003.24306210669,1.299035724051879e-05
-53962.70477962677,1.3160818581370166e-05
-53922.166497146856,1.333215121637611e-05
-53881.62821466694,1.3501521635473286e-05
-53841.08993218703,1.3670459851921986e-05
-53800.551649707115,1.3839942370633658e-05
-53760.0133672272,1.4007393069484225e-05
-53719.47508474728,1.4174528169671758e-05
-53678.936802267366,1.4341432461184473e-05
-53638.39851978746,1.4505318816980387e-05
-53597.86023730754,1.4666396165650796e-05
-53557.321954827625,1.4830906473717715e-05
-53516.78367234771,1.4992706560465746e-05
-53476.24538986779,1.5153957020463588e-05
-53435.70710738788,1.531458098736072e-05
-53395.16882490797,1.5478219878472214e-05
-53354.63054242805,1.564225127965366e-05
-53314.092259948135,1.580398973594518e-05
-53273.55397746822,1.5968979926184027e-05
-53233.01569498831,1.6134015919716048e-05
-53192.47741250839,1.629740259135692e-05
-53151.93913002848,1.6458468201257628e-05
-53111.40084754856,1.6619320225594808e-05
-53070.862565068644,1.6782127485538734e-05
-53030.324282588736,1.6945699869552294e-05
-52989.78600010882,1.7110791391675866e-05
-52949.2477176289,1.7275028583568258e-05
-52908.70943514899,1.7437912337156387e-05
-52868.17115266907,1.760306031190042e-05
-52827.63287018916,1.7771252454990123e-05
-52787.094587709245,1.7942279650696035e-05
-52746.55630522933,1.8116742511618526e-05
-52706.01802274941,1.829589722502542e-05
-52665.4797402695,1.8475769939125807e-05
-52624.94145778959,1.865472146767167e-05
-52584.40317530967,1.883363735304207e-05
-52543.864892829755,1.9014370643413528e-05
-52503.32661034984,1.9197267369401066e-05
-52462.78832786993,1.9383302574314454e-05
-52422.250045390014,1.9572122262622513e-05
-52381.7117629101,1.9762519137618657e-05
-52341.17348043018,1.9951463106311738e-05
-52300.635197950265,2.0137917697198767e-05
-52260.09691547035,2.032249264722466e-05
