empl_ttl_lc1vs0_iate,sex
2.498433506603069,1.0
-3.1298083500482434,2.0
-3.344742678192409,2.0
-4.528799661946982,2.0
4.496361032875733,1.0
1.8204775325576117,1.0
6.868244083353314,1.0
-3.3135215966017486,2.0
-2.9758542915930457,2.0
-0.1262482386038284,2.0
1.825375877544806,1.0
-2.0557323475345015,2.0
-4.620388939137838,2.0
0.37260871520707495,1.0
-0.05996062702058058,1.0
4.012743138073272,1.0
3.1016642057424324,1.0
1.7565328173522823,1.0
-0.7324011617215809,1.0
-0.9909784664961091,2.0
-2.319476992690084,2.0
3.784431388732647,1.0
1.0086881187071661,1.0
-3.3018082382553815,1.0
-1.3154411757510225,1.0
-5.49959160026593,2.0
2.827376241167716,1.0
3.091618288378948,1.0
-0.7012388210445643,2.0
-5.415163772243275,2.0
-1.1939734200590362,2.0
-4.490096122337092,2.0
-2.530533331704901,2.0
-2.7813089576165506,2.0
4.526101552720037,1.0
-5.257726061442645,2.0
-1.0879998676815426,2.0
-2.9347539051269522,2.0
-2.0907224166523393,2.0
3.6266866753599123,1.0
-2.7384929561613554,2.0
-2.7312336184240094,2.0
-0.8824166413796637,1.0
-5.257663166660086,2.0
2.227952886094991,1.0
-3.5278245581385717,2.0
-0.4430762504496304,1.0
2.5442679856999173,1.0
-6.004665757045915,2.0
-3.800415545129083,2.0
-3.1115328183205184,2.0
1.5459529010717303,1.0
1.5985059135738493,1.0
1.3543080205909495,1.0
-2.68605012228058,2.0
4.754924624547002,1.0
-0.16081504738744368,1.0
-1.1229224735945462,1.0
-5.283555918558607,2.0
-2.5310567818621337,2.0
3.4491467446243265,1.0
-5.0073556961677195,2.0
0.4929477007014551,1.0
-3.7662759388281044,2.0
1.4379886024903041,1.0
-4.2599297720800084,2.0
-2.2496413650663367,2.0
5.089357546104323,1.0
4.204123124346394,1.0
-0.06430039491045525,1.0
1.2214580701477937,1.0
-5.465210883681552,2.0
-0.17542656148847602,1.0
-4.259540116598308,2.0
-4.509763932313359,2.0
-5.4223542761839,2.0
4.812823358491759,1.0
-4.855095621064352,2.0
0.15841868451744823,1.0
3.100906757121863,1.0
0.2926262502211565,1.0
-4.183149163591842,2.0
-2.693586499229308,2.0
2.3280661252016155,1.0
2.8792836897527248,1.0
-4.226646877101689,2.0
0.5870748677372064,1.0
-0.4163972456516343,2.0
1.889138264303508,1.0
-2.414539023561926,2.0
-4.578230930412071,2.0
-3.512463730766281,2.0
-1.9942837301306084,2.0
-5.274694874512052,2.0
